source,pre,ResuPred,post,Subj,MentalS,Obj,MentalO,Property,Transitivity,Varieties
uhrp.org,政府 的 掩盖 使 事件 的 细节 很 快 模糊 ， 这,shi,虚假 的 谣言 —— 维吾尔 工人 强奸 了 一 名 女 汉人 的 指控 传播 ； 据报 两 名 维吾尔人 被 打死 ， 118 人 受伤 ， 但 其他 报告 认为 维吾尔人 实际 死亡 人数 还 要 高 。,政府 的 掩盖 使 事件 的 细节 很 快 模糊,0,虚假 的 谣言,0,physical,INTR,CHS
zezhuo.net,新型 荷兰 网 造型 优美 用途 多样 在 我们 周围 很 实用 ， 它 能,shi,一些 物品 及 建筑物 不易 被 破坏 受损 ， 无论 什么 东西 都 禁 不 起 破坏 ， 因此 安装 荷兰 网 必不可少 ， 主要 特色 就 是 外型 美观 ， 并且 能够 持久 的 保持 良好 的 外形 ， 非常 适合 在 一些 家 .,新型 荷兰 网,0,一些 物品 及 建筑物,0,physical,TR,CHS
zezhuo.net,更新 换代,shi,荷兰 网 有 了 更 好 的 发展 围栏 就 是 如此 ， 它 时时刻刻 的 和 人们 在一起 ， 处处 都 影响 到 了 人们 的 生活 。,更新 换代,0,荷兰 网,0,physical,TR,CHS
yuemore.com,， 一 面 采用 密膜 特殊 工艺 可 彻底 吸净 面部 多余 油脂 ， 维护 肌肤 的 正常 呼吸 ， 超强 的 吸油力 是 普通 吸油 面纸 的 8 倍 ； 另 一 面 蕴含 多种 植物 精华 ， 可在 吸油 的 同时 调节 肌肤 水分 与 油脂 平衡 ， 用后,shi,肌肤 清爽 洁净 ， 倍感 清新 舒畅,用后,0,肌肤,0,physical,INTR,CHS
yuemore.com,功效 说明 : 专为 想要 展现 轻盈 体态 的 人 所 设计 ， 内含 天然 海藻 活性 成分 ， 可 促使 淋巴 循环 良好 ， 紧实 纤细 身体 曲线 ； 并可 帮助 脂肪 分解 ， 重建 肌肤 弹性 ，,shi,全身 肌肤 紧致,,,,,physical,,CHS
rfjiansuji.com,而且 这 种 面 光源 能 在 很大 程度 上 扩大 封装 的 散热 面积 ，,shi,热量 更 容易 传导 至 外壳 。,面 光源,0,热量,0,physical,TR,CHS
rfjiansuji.com,在 应用 上 ， COB 光源 模块 可以,shi,照明 灯具 厂 的 安装 生产 更 简单 和 方便 。,COB 光源 模块,0,照明 灯具 厂 的 安装 生产,0,physical,INTR,CHS
chinanews.com,制度 好 可以,shi,坏人 无法 任意 横行 ， 制度 不 好 可以 使 好人 无法 充分 做好事 ， 甚至 会 走向 反面 。,制度,0,坏人,1,affective,INTR,CHS
chinanews.com,制度 好 可以 使 坏人 无法 任意 横行 ， 制度 不 好 可以,shi,好人 无法 充分 做好事 ， 甚至 会 走向 反面 。,制度,0,好人,1,affective,TR,CHS
chinanews.com,修订 准则 要 化繁为简 、 突出 重点 、 针对 时弊 ， 解决 领导 干部 从政 过程 中 存在 的 突出 问题 ，,shi,广大 党员 、 干部 一目了然 。,修订 准则,0,广大 党员 、 干部,1,affective,INTR,CHS
chinanews.com,要 把 党 的 纪律 和 规矩 挺 在 前面 ， 用 纪律 和 规矩 管住 大多数 ，,shi,所有 党员 干部 严格 执行 党规 党纪 、 模范 遵守 法律 法规 。,纪律 和 规矩,0,所有 党员 干部,1,affective,TR,CHS
chinanews.com,改进 巡视 工作 ， 首要 的 一 条 ， 就是 落实 全面 从严 治党 的 要求 ， 做到 有规 在先 、 抓 早 抓 小 ， 不 搞 不教而诛 ，,shi,党内 监督 不 留 死角 、 没有 空白 。,落实 全面 从严 治党 的 要求,0,党内 监督,0,physical,TR,CHS
chinanews.com,既要 注意 体现 党章 的 基本 原则 和 精神 ， 符合 国家 法律 法规 ， 也 要 同 其他 方面 法规 制度 相 衔接 ，,shi,实体性 法规 制度 和 程序性 法规 制度 、 综合性 规定 和 专门性 规定 、 下位 法规 制度 和 上位 法规 制度 相互 协调 、 相辅相成 ， 提升 法规 制度 整体 效应 。,同 其他 方面 法规 制度 相 衔接,0,实体性 法规 制度 和 程序性 法规 制度 、 综合性 规定 和 专门性 规定 、 下位 法规 制度 和 上位 法规 制度,0,physical,INTR,CHS
chinanews.com,反腐 倡廉 法规 制度 建设 必须 做到 要素 齐全 ， 既有 激励性 ， 又 有 惩戒性 ，,shi,遵守 者 得到 表彰 奖励 ， 违反者 受到 严厉 惩处 。,反腐 倡廉 法规 制度 建设,0,遵守 者,1,affective,TR,CHS
chinanews.com,要 总结 经验 ， 健全 体制 机制 ，,shi,各 种 监督 更加 规范 、 更加 有力 、 更加 有效 。,总结 经验 ， 健全 体制 机制 ，,0,各 种 监督,0,physical,INTR,CHS
chinanews.com,道德,shi,人向善 ， 是 纪律 的 必要 前提 和 基础 ； 纪律 用来 惩恶 ， 是 道德 的 坚强 后盾 和 保障 。,道德,0,人,1,affective,INTR,CHS
searchsmb.com.cn,当 与 用户 探讨 CRM 系统 的 应用 时 ， 软件 供应商 陈旧而 空洞 的 说辞,shi,其 处于 非常 不利 的 位置 。,说辞,0,其 (软件 供应商),1,affective,TR,CHS
sts.org.cn,家庭 和 个人,shi,ICT 的 样板 调查 当前 正在 进行 修正 以 增进 与 欧洲 统计局 ICT 应用 调查 的 一致性 ， 同时 也 把 调查 向 具有 较高 政策 关联度 的 方向 调整 ， 如 数字化 产品 ， 移动 接入 ， IT 安全 及 电子 政务 。,,,,,physical,,CHS
sts.org.cn,技术 的 快速 发展 ， 把 定义 进行 充实化 ， 从而,shi,其 显得 准确 而 清晰 ， 使 统计 调查 易于 实行 ， 这 一 做法 已 被 广泛 认可 。,技术 的 快速 发展,0,其 (定义),0,physical,TR,CHS
sts.org.cn,技术 的 快速 发展 ， 把 定义 进行 充实化 ， 从而 使 其 显得 准确 而 清晰 ，,shi,统计 调查 易于 实行 ， 这 一 做法 已 被 广泛 认可 。,技术 的 快速 发展,0,统计 调查,0,physical,TR,CHS
whrsm.ac.cn,同时 ， 随着 饱 水 时间 的 增加 ， 页岩 中 绿泥石 和 白云母 矿物 遇水 产生 膨胀 ，,shi,片 层状 结构 分散 剥离 出 细小 矿物 颗粒 ， 并 产生 大量 松散 多孔 的 絮状物 ； 由于 水化 作用 的 影响 ， 页岩 原有 的 致密 层状 结构 变得 松散 破碎 ， 矿物 颗粒 之间 的 胶结 逐步 破坏 ， 孔隙 、 裂隙 增多 ， 宏观 上 表现 为,绿泥石 和 白云母 矿物,0,片 层状 结构,0,physical,TR,CHS
xuekeedu.com,方面 的 问题 ： 1 、 为 学生 提供 知识 过渡 桥梁 和 阶梯 ， 实现 知识 有效 对接 ； 2 、 为 学生 提供 必要 的 思维 训练 与 指导 ， 让 学生 的 思维 得以 科学 转换 ； 3 、 为 学生 做好 必要 的 铺垫 与 准备 ，,shi,学生 的 学习 策略 有 实质性,为 学生 做好 必要 的 铺垫 与 准备,0,学生 的 学习 策略,0,physical,TR,CHS
gdsp.org.cn,HACCP 是 危害 分析 关键 控制点 的 词首 字母 的 缩写 ， 是 人们 用来 控制 食品 安全 危害 的 一 种 通常 技术 ， 一 个 分析 工具 ， 也 是 一 种 重要 的 管理 体系 ， 它 可以 与 任何 操作 相 结合 ， 能,shi,正在 进行 的 食品 安全性 项目 保持 经济 有效 ， 然而 ， 在 理解 它 的 概念 之前 HACCP 可能 表面 看 起来 很 复杂 和 教条 但 只要 经过 短时间 的 培训 和 练训 和 练习 就 可以 掌握 。,HACCP,0,正在 进行 的 食品 安全性 项目,0,physical,INTR,CHS
gdsp.org.cn,HACCP 从 生产 角度 来说 是 安全 控制 系统 ， 是,shi,产品 从 投料 开始 至 成品 保证 质量 安全 的 体系 ， 如果 使用 了 HACCP 的 管理 系统 最 突出 的 优点 是 ： 1 .,HACCP,0,产品,0,physical,TR,CHS
gdsp.org.cn,,shi,食品 生产 对 最终 产品 的 检验 （ 即 检验 是否 有 不合格 产品 ） 转化 为 控制 生产 环节 中 潜在 的 危害 （ 即 预防 不 合格 产品 ） ； 2 .,,,,,physical,,CHS
gdsp.org.cn,不 需要 大 的 投资 ， 可,shi,其 既 简单 又 有效 7 .,,,,,physical,,CHS
gdsp.org.cn,目的 均 是,shi,消费者 （ 用户 ） 信任,,,,,physical,,CHS
gdsp.org.cn,这些 均与 ISO 9000 原理 相连 ，,shi,企业 向 全面 质量 管理 方面 发展 。,,,,,physical,,CHS
gdsp.org.cn,HACCP 必须 建立 在 食品 安全 项目 的 基础 上 才 能,shi,它 运行 。,建立 在 食品 安全 项目 的 基础 上,0,它 (HACCP),0,physical,INTR,CHS
gdsp.org.cn,,shi,加工者 知道 如何 去 建立 这个 体系 ， 如何 去 控制 ， 检查者 通过 判断 题适 当地 确定 显著 的 食品 安全 危害 和 企业 怎样 来 断 控制 这些 危害 来 验证 HACCP 计划 。,,,,,physical,,CHS
triptibet.com,青藏 铁路 建成 后 不仅,shi,进藏 旅客 能 选择 费用 低廉 的 铁路 运输 ， 还 可以 在 列车 上 饱览 风光 ， 逐步 适应 高原 气候 ， 减轻 高原 反应 。,青藏 铁路,0,旅客,1,affective,TR,CHS
afpxuexi.com,对于 拆 入 方 的 CFP 金融 机构 来说 ， 同业 借贷 可以,shi,其 及时 获得 足额 的 短期 资金 ， 拓展 资产 业务 。,同业 借贷,0,其 (拆 入 方 的 CFP 金融 机构),0,physical,TR,CHS
91design.net,浸镀 时 此 熔剂 层 受热 挥发 ，,shi,新鲜 的 钢 表面 与 熔融 金属 直接 接触 ， 发生 浸润 、 溶解 、 化学 反应 、 扩散 。,熔剂 层,0,新鲜 的 钢 表面,0,physical,INTR,CHS
e-psych.cn,10 、 家庭 治疗 ： 是 心理 治疗 的 一 种 形式 ， 治疗 对象 不 只是 病人 本人 ， 而是 通过 在 家庭 成员 内部 促进 谅解 ， 增进 情感 交流 和 相互 关心 的 作法 ，,shi,每 个 家庭 成员 了解 家庭 中 病态 情感 结构 ， 以 纠正 其 共 有的 心理 病态 ， 改善 家庭 功能 ， 产生 治疗 性的 影响 ， 达到 和睦 相处 ， 向 正常 发展 的 目的 。,家庭 治疗,0,每 个 家庭 成员,1,affective,TR,CHS
e-psych.cn,11 、 心理剧 ： 是 一 种 可以,shi,患者 的 感情 得以 发泄 从而 达到 治疗 效果 的 戏剧 。,心理剧,0,患者 的 感情,0,physical,TR,CHS
njrxdz.com,3 、 对 钢管 进行 100% 的 质量 检查 ，,shi,钢管 生产 的 全过程 均 在 有效 的 检测 、 监控 之下 ， 有效 地 保证 了 产品 质量 。, 对 钢管 进行 100% 的 质量 检查,0,钢管 生产 的 全过程,0,physical,TR,CHS
zhongkao.com,学校 在 全 市 首家 进行 了 面向 全体 学生 的 “ 成长 规划 ” 研究性 学习 项目 ， 目的 在于,shi,学生 确立 人生 理想 ， 激发 内驱力 ， 增强 其主 勤奋 学习 的 主动性 和 积极性 。, “ 成长 规划 ” 研究性 学习 项目,0,学生 ,1,affective,TR,CHS
ccg.org.cn,2月 ， 加拿大 取消 投资 移民 计划 的 同时 ， 正式 将 申请 去 加拿大 的 普通 签证 改为 10 年 多 次 往返 签证 ，,shi,其 移民 政策 更 聚焦 于 吸引 技能 人才 和 能为 加拿大 带来 税收 和 创新 创业 的 人才 。,加拿大,1,其 移民 政策,0,volitional,TR,CHS
58visa.com,多伦多 人文 景观 一 文 由 签证 在线 整理 ， 目的 是,shi,广大 出国 人员 在 前往 加拿大 之前 能 了解 更 多 加拿大 的 相关 资讯 ， 以便 能 更 好 的 应对 异国 旅程 ， 希望 这 篇 文章 能 对 前往 加拿大 的 朋友 提供 一定 的 参考 价值 。,多伦多 人文 景观 一 文,0,广大 出国 人员,1,affective,TR,CHS
aoya-hk.com,只有 做到 四方 平衡 ， 才 能,shi,古 村 活化 走向 可持续 发展 的 道路 。,四方 平衡,0,古 村,0,physical,TR,CHS
youth.cn,最大 综合 医院 -- 三军 总医院 的 最大 骨科 专科 中心 的 学科 带头人 ， 专科 方向 主要 以 人工 关节 置换 、 颈椎病 及 脊柱侧凸 矫形 的 治疗 为重 点 ， 是 国内 医生 中 完成 上述 手术 最 多 的 医生 之一 ， 积累 了 大量 临床 经验 ，,shi,大批 残疾 患者 重返 工作 岗位 。,带头人,1,残疾 患者,1,inducive,TR,CHS
szicc.com.cn,和 舰 科技 与 苏州 中科 建立 战略 合作 ， 将 提供 有效 的 商业 及 技术 解决 方案 ，,shi,初创 公司 能 顺利 地 从 设计 概念 到 芯片 生产 取得 成功 。,和 舰 科技,0,初创 公司,0,physical,TR,CHS
dxy.com,内分泌 的 改变 ： 在 性激素 升高 、 孕酮 激素 升高 的 影响 下 ，,shi,牙龈 组织 在 轻微 刺激 下 ， 引发 非特 异性 炎症 ， 导致 牙龈 出血 、 渗出 增多 、 牙龈 增生 等 。,性激素 升高 、 孕酮 激素 升高,0,牙龈 组织,0,physical,TR,CHS
dxy.com,如 糖尿病 、 心血管 疾病 、 肝肾 功能 异常 、 肿瘤 等 的 致病 方式 通常 是,shi,全身 的 免疫力 下降 ， 进而 导致 对于 局部 刺激 的 抵抗力 下降 ， 诱发 牙龈 炎症 ； 凝血 系统 障碍 ； 血管 的 器质性 变化 、 血流 的 动力学 改变 等等 。,糖尿病 、 心血管 疾病 、 肝肾 功能 异常 、 肿瘤,0,全身 的 免疫力,0,physical,INTR,CHS
