id,ResuPred,sentence,pre,post,Subj,MentalS,Obj,MentalO,Property,Transitivity,Varieties
77,rang,一方面 又 立 像 財劃法 這樣 <讓> 行政 部門 無法 收支平衡 的 法律 。,一方面/mq 又/d 立/v 像/v 財/zg 劃法/v 這樣/r,行政/n 部門/n 無法/n 收支平衡/i 的/uj 法律/n,法律,0,行政部門,0,physical,INTR,CHT
80,rang,同意 寒假 期間 <讓> 孩子 轉學 ，,同意/d 寒假/n 期間/f,孩子/n 轉學/n,,,,,physical,,CHT
82,rang,當 澳洲 網球 公開賽 的 種子 殞落 聲 已 <讓> 人 麻木 之 際 ，,當/t 澳洲/ns 網球/n 公開賽/nr 的/uj 種子/n 殞落/v 聲/n 已/d,人/n 麻木/nr 之/u 際/ng,澳洲網球公開賽的種子殞落聲,0,人,1,affective,INTR,CHT
86,rang,教育局 計畫 自 下 學期 開始 <讓> 部分 經 審查 通過 的 線上 遊戲 免費 進駐 校園 ，,教育局/n 計畫/x 自/p 下/f 學期/n 開始/v,部分/n 經/zg 審查/vn 通過/p 的/uj 線上/x 遊戲/n 免費/vn 進駐/v 校園/n,教育局,1,線上遊戲,1,inducive,TR,CHT
91,rang,感激 吳 老闆 在 「 百忙之中 」 賣給 他 這 張 <讓> 他 一 夕 之間 致富 的 彩券 。,感激/v 吳/nr 老闆/n 在/p 百忙之中/i 賣給/x 他/r 這/zg 張/zg,他/r 一/m 夕/tg 之間/f 致富/a 的/uj 彩券/n,彩券,0,他,0,physical,INTR,CHT
92,rang,台北 銀行 應該 要 <讓> 他 知道 ，,台北/ns 銀行/n 應該/v 要/v,他/r 知道/v,台北銀行,1,他,1,inducive,INTR,CHT
95,rang,希望 台北 銀行 至少 要 <讓> 中 大獎 的 投注站 知道 是否 開出 大獎 ，,希望/v 台北/ns 銀行/n 至少/d 要/v,中/f 大獎/nz 的/uj 投注站/n 知道/v 是否/v 開出/v 大獎/nz,台北銀行,1,投注站,1,inducive,INTR,CHT
111,rang,台北 的 空間 束縛[+nom] <讓> 不少 本土 導演 相當 挫折 ，,台北/ns 的/uj 空間/n 束縛/vn nom/eng,不少/d 本土/n 導演/v 相當/d 挫折/n,台北的空間束縛,0,本土導演,1,affective,INTR,CHT
112,rang,相對 卻 是 以 各 種 機制 <讓> 全球 人馬 赴 紐約 拍攝 以 當地 為 背景 的 影片 ，,相對/d 卻/d 是/v 以/p 各/r 種/m 機制/n,全球/n 人馬/n 赴/v 紐約/ns 拍攝/v 以/p 當地/s 為/zg 背景/n 的/uj 影片/n,各種機制,0,全球人馬,1,affective,TR,CHT
113,rang,難得 一 見 的 「 跳 鍾馗 」 <讓> 現場 有(V_2) 濃濃 的 民俗風 ，,難得/d 一/m 見/v 的/uj 跳/v 鍾馗/nr,現場/n 有/v V/x 2/x 濃濃/z 的/uj 民俗/n 風/zg,「跳鍾馗」,0,現場,0,physical,INTR,CHT
119,rang,長榮 航空 也 <讓> 鼎泰豐 的 小籠包 和 雞湯 飛上 青天 ，,長榮/nr 航空/n 也/d,鼎泰豐/x 的/uj 小籠包/n 和/c 雞湯/n 飛上/n 青天/t,長榮航空,0,鼎泰豐的小籠包和雞湯,0,physical,INTR,CHT
124,rang,其 主要 目的 係 <讓> 所有 美國 科學家 及 工程 技術人員 能 共享 資料 ，,其/r 主要/b 目的/n 係/zg,所有/b 美國/ns 科學家/n 及/c 工程/n 技術人員/n 能/v 共享/v 資料/n,主要目的,1,所有美國科學家及工程技術人員,1,inducive,TR,CHT
126,rang,硬體 方面 則 有(V_2) 以下 兩 種 方式 <讓> 人 更 容易 地 接觸到 多媒體 ：,硬體/n 方面/n 則/zg 有/v V/x 2/x 以下/f 兩/m 種/m 方式/n,人/n 更/d 容易/a 地/uv 接觸/v 到/v 多媒體/n,兩種方式,0,人,1,affective,TR,CHT
135,rang,更 有(V_2) 機會 <讓> 我們 一 窺 自然界 堂奧 之 妙 ！,更/d 有/v V/x 2/x 機會/n,我們/r 一/m 窺/v 自然界/n 堂奧/nrt 之/u 妙/a,機會,0,我們,1,affective,TR,CHT
136,rang,其 主要 的 目的 是 <讓> 使用 者 能 快速 且 方便 地 得知 以前 所 下 指令 的 參數 ，,其/r 主要/b 的/uj 目的/n 是/v,使用/v 者/k 能/v 快速/d 且/zg 方便/a 地/uv 得知/v 以前/f 所/c 下/f 指令/n 的/uj 參數/n,目的,0,使用者,1,affective,TR,CHT
139,rang,如何 <讓> 許多 使用 者 同時 方便 地 享用到 電腦 的 服務 ，,如何/r,許多/m 使用/v 者/k 同時/c 方便/a 地/uv 享用/v 到/v 電腦/n 的/uj 服務/vn,,,,,physical,,CHT
140,rang,但是 利用 一 套 大型 主機 <讓> 多 位 使用 者 使用 的 時代 已經 過去 了 ；,但是/c 利用/n 一/m 套/q 大型/b 主機/b,多/m 位/q 使用/v 者/k 使用/v 的/uj 時代/n 已經/d 過去/t 了/ul,大型主機,0,多位使用者,1,affective,INTR,CHT
141,rang,愛丁堡 大學 實現 了 當初 創建 網路 的 目的 <讓> 所有 學生 都 能 置身 於 現代 的 資訊 科技 環境 中 。,愛丁堡/ns 大學/n 實現/v 了/ul 當初/t 創建/v 網路/n 的/uj 目的/n,所有/b 學生/n 都/d 能/v 置身/v 於/nr 現代/t 的/uj 資訊/n 科技/n 環境/n 中/f,創建網路的目的,0,所有學生,1,affective,INTR,CHT
142,rang,它 可 <讓> ＰＣ[+fw] 使用 者 透過 Ｘ４００ 國際 電子 郵件 標準 享受到 豐富 的 資源 。,它/r 可/v,fw/eng 使用/v 者/k 透過/v 國際/n 電子/n 郵件/n 標準/n 享受/v 到/v 豐富/a 的/uj 資源/n,它,0,PC使用者,1,affective,TR,CHT
143,rang,實驗值 可以 <讓> 我們 對 所 使用 的 原子 間 相互 位能 （ 在 此 為 Ｌｅｎｎａｒｄ－Ｊｏｎｅｓ 位能 ） 有(V_2) 一 個 定量 的 觀念 。,實驗/vn 值/n 可以/c,我們/r 對/p 所/c 使用/v 的/uj 原子/n 間/f 相互/d 位能/v 在/p 此/zg 為/zg 位能/v 有/v V/x 2/x 一/m 個/zg 定量/n 的/uj 觀念/n,實驗值,0,我們,0,physical,TR,CHT
147,rang,你 <讓> 他 來 看看 吧 。,你/r,他/r 來/zg 看看/v 吧/y,你,1,他,1,inducive,INTR,CHT
153,rang,老師 <讓> 他們 上課 以前 ，,老師/n,他們/r 上課/v 以前/f,老師,1,他們,1,inducive,INTR,CHT
162,rang,指示 所屬 第一科 科員 馮立毅 <讓> 捷群公司 多 報 縮影捲 數量 。,指示/v 所屬/b 第一/m 科/n 科員/n 馮立毅/x,捷群/x 公司/n 多/m 報/n 縮影/n 捲/x 數量/n,第一科科員馮立毅,1,捷群公司,1,inducive,TR,CHT
163,rang,但 傑出 的 邏輯 思辨 能力 <讓> 他 屢次 在 辯論 比賽 中 ，,但/c 傑出/a 的/uj 邏輯/n 思辨/v 能力/n,他/r 屢次/d 在/p 辯論/n 比賽/vn 中/f,,,,,physical,,CHT
171,rang,大家 的 出發點 都 是 為了 <讓> 京華城 能 在 安全 無虞 的 情況 下 使用 。,大家/n 的/uj 出發點/n 都/d 是/v 為/zg 了/ul,京華/nz 城/n 能/v 在/p 安全/an 無虞/ns 的/uj 情況/n 下/f 使用/v,出發點,1,京華城,0,volitional,INTR,CHT
173,rang,說服 了 選民 <讓> 民進黨 有(V_2) 一 施展 機會 。,說服/v 了/ul 選民/n,民進黨/nt 有/v V/x 2/x 一/m 施展/vn 機會/n,選民,1,民進黨,1,inducive,TR,CHT
178,rang,而 如何 <讓> 在野黨 感受到 社會 壓力 ？,而/c 如何/r,在野黨/n 感受/v 到/v 社會/n 壓力/n,,,,,physical,,CHT
180,rang,民進黨 最近 幾 個 月 釋放出 有意 <讓> 兩岸 經濟 整合 更 上 層 樓 的 強烈 訊號 。,民進黨/nt 最近/f 幾/m 個/zg 月/m 釋放出/v 有意/v,兩岸/f 經濟/n 整合/v 更/d 上/f 層/q 樓/n 的/uj 強烈/a 訊號/n,民進黨,1,兩岸經濟整合,0,volitional,INTR,CHT
181,rang,那麼 就 會 <讓> 選舉 結果 直接 衝擊 對 政府 預算 的 審議[+nom] 。,那麼/r 就/d 會/v,選舉/v 結果/n 直接/ad 衝擊/vn 對/p 政府/n 預算/v 的/uj 審議/v nom/eng,,,,,physical,,CHT
183,rang,這 筆 錢 幾乎 可以 <讓> 我 發 三 個 月 的 薪水 。,這/zg 筆/n 錢/n 幾乎/d 可以/c,我/r 發/zg 三/m 個/zg 月/m 的/uj 薪水/n,這筆錢,0,我,1,affective,TR,CHT
184,rang,九一一 恐怖 攻擊 事件 <讓> 航空界 對 如何 防範 歹徒 挾持 飛機 傷透 腦筋 ，,九/m 一一/m 恐怖/a 攻擊/v 事件/n,航空界/n 對/p 如何/r 防範/v 歹徒/n 挾持/v 飛機/n 傷透/v 腦筋/n,九一一恐怖攻擊事件,0,航空界,1,affective,TR,CHT
186,rang,最初 的 玩法 是 <讓> 人 從 一 篇 千字文 中 選出 幾 個 字 ，,最初/t 的/uj 玩法/n 是/v,人/n 從/zg 一/m 篇/q 千字文/n 中/f 選出/v 幾/m 個/zg 字/n,最初的玩法,0,人,1,affective,TR,CHT
198,rang,與 其 <讓> 鋼筋 放 著 生鏽 ，,與/zg 其/r,鋼筋/n 放/v 著/n 生鏽/v,,,,,physical,,CHT
199,rang,所以 他 才 力陳 應 <讓> 業者 緩衝 一 年 。,所以/c 他/r 才/d 力陳/n 應/v,業者/n 緩衝/v 一/m 年/m,,,,,physical,,CHT
202,rang,高達 九成五 的 家長 贊成 <讓> 孩子 從 小學 開始 學 英文 。,高達/nr 九成/m 五/m 的/uj 家長/n 贊成/v,孩子/n 從/zg 小學/n 開始/v 學/zg 英文/nz,高達九成五的家長,1,孩子,1,inducive,TR,CHT
203,rang,如何 <讓> 孩子 彌補 五育 失衡 現象 ，,如何/r,孩子/n 彌補/v 五育/x 失衡/a 現象/n,,,,,physical,,CHT
209,rang,所以 決策 的 形成[+nom] 及 實踐 並 未 <讓> 所有 關鍵 人士 參與 。,所以/c 決策/n 的/uj 形成/v nom/eng 及/c 實踐/v 並/c 未/d,所有/b 關鍵/n 人士/n 參與/v,決策的形成及實踐,0,所有關鍵人士,1,affective,INTR,CHT
211,rang,國家 資源 應 致力 於 建設 <讓> 學生 有(V_2) 從事 戶外 體能 活動 的 環境 ，,國家/n 資源/n 應/v 致力/n 於/nr 建設/vn,學生/n 有/v V/x 2/x 從事/v 戶外/s 體能/v 活動/vn 的/uj 環境/n,環境,0,學生,1,affective,TR,CHT
214,rang,有(V_2) 半數 台商 表示 如果 <讓> 他們 再 重新 選擇 對 外 投資 地點 ，,有/v V/x 2/x 半數/m 台商/n 表示/v 如果/c,他們/r 再/d 重新/a 選擇/v 對/p 外/f 投資/vn 地點/n,,,,,physical,,CHT
215,rang,而且 當 妻子 不 <讓> 丈夫 「 動手 」 的 時候 ，,而且/c 當/t 妻子/n 不/d,丈夫/n 動手/n 的/uj 時候/n,妻子,1,丈夫,1,inducive,INTR,CHT
219,rang,從 畫面 上 我們 看到 導演 最多 只 <讓> 華人 吻 露絲 的 袍袖 ，,從/zg 畫面/n 上/f 我們/r 看到/v 導演/v 最多/d 只/d,華人/n 吻/v 露絲/x 的/uj 袍袖/x,導演,1,華人,1,inducive,TR,CHT
222,rang,宋仁宗 還 曾經 <讓> 近臣 、 家眷 「 男女 隔日 參觀 」 ，,宋仁宗/nr 還/d 曾經/d,近臣/n 家眷/n 男女/n 隔日/b 參觀/n,宋仁宗,1,近臣、家眷,1,inducive,INTR,CHT
230,rang,使得 臺灣 這 一 『 福爾摩沙 』 <讓> 西方人 印象 深刻 ，,使得/v 臺灣/ns 這/zg 一/m 福爾摩沙/ns,西方人/nr 印象/n 深刻/d,臺灣這一『福爾摩沙』,0,西方人,1,affective,INTR,CHT
231,rang,高大 茂盛 的 樅樹 則 <讓> 他 的 同伴 想起 蘇格蘭 的 家鄉 。,高大/a 茂盛/a 的/uj 樅樹/ns 則/zg,他/r 的/uj 同伴/n 想起/v 蘇格蘭/ns 的/uj 家鄉/n,高大茂盛的樅樹,0,他的同伴,1,affective,TR,CHT
240,rang,一 幅 南宋 「 竹圖 」 還 <讓> 一 位 外國 觀眾 目不轉睛 ，,一/m 幅/n 南宋/t 竹圖/x 還/d,一/m 位/q 外國/ns 觀眾/x 目不轉睛/i,一 幅南宋「竹圖」,0,一位外國觀眾,1,affective,INTR,CHT
242,rang,「 我 欲 <讓> 你 繼承 王位 。,我/r 欲/d,你/r 繼承/v 王位/n,我,1,你,1,inducive,TR,CHT
244,rang,才 特別 要求 校方 晚上 開放 一 間 教室 <讓> 學生 夜讀 。,才/d 特別/d 要求/v 校方/n 晚上/t 開放/v 一/m 間/f 教室/n,學生/n 夜讀/v,開放一間教室,0,學生,1,affective,INTR,CHT
248,rang,這樣 孩子氣 的 舉措 <讓> 家人 嘲笑 ，,這樣/r 孩子氣/n 的/uj 舉措/v,家人/n 嘲笑/v,孩子氣的舉措,0,家人,1,affective,INTR,CHT
254,rang,臺 澎 諸 島 永遠 <讓> 予 日本 。,臺/zg 澎/ns 諸/r 島/n 永遠/d,予/vg 日本/ns,,,,,physical,,CHT
263,rang,他 的 家人 怎麼 會 <讓> 他 一 人 回 大陸 ？,他/r 的/uj 家人/n 怎麼/r 會/v,他/r 一/m 人/n 回/v 大陸/n,他的家人,1,他,1,inducive,INTR,CHT
266,rang,地勤 人員 一再 向 我們 保證 一定 <讓> 他 登上 下 一 班 飛機 回 高雄 。,地勤/n 人員/n 一再/d 向/p 我們/r 保證/v 一定/d,他/r 登上/v 下/f 一/m 班/n 飛機/n 回/v 高雄/x,地勤人員,1,他,1,inducive,TR,CHT
267,rang,不少 描繪 女強人 的 電視 肥皂劇 更 <讓> 女強人 戴上 男性 面具 ：,不少/d 描繪/v 女強人/n 的/uj 電視/n 肥皂劇/n 更/d,女強人/n 戴上/x 男性/n 面具/n,電視肥皂劇,0,女強人,1,affective,TR,CHT
272,rang,衝勁 與 活力 都 <讓> 習於 歐洲 舒緩 步調 的 法國人 感受 深刻 。,衝勁/a 與/zg 活力/n 都/d,習於/v 歐洲/ns 舒緩/a 步調/n 的/uj 法國人/n 感受/v 深刻/d,衝勁與活力,0,習於歐洲舒緩步調的法國人,1,affective,INTR,CHT
274,rang,黃海倫 ﹝ 黃于純 的 英文名 ﹞ 的 演奏 <讓> 我 想起 魯賓斯坦 。,黃海/ns 倫/ns 黃/zg 于/p 純/a 的/uj 英文名/nr 的/uj 演奏/v,我/r 想起/v 魯賓斯坦/nrt,黃海倫的演奏,0,我,1,affective,INTR,CHT
277,rang,帶 皮 的 甘蔗 更 <讓> 我們 直 啃 到 牙床 痠痛 。,帶/v 皮/n 的/uj 甘蔗/n 更/d,我們/r 直/d 啃/v 到/v 牙床/n 痠痛/vn,帶皮的甘蔗,0,我們,1,affective,INTR,CHT
283,rang,她 的 回答 更 <讓> 我 驚訝 ，,她/r 的/uj 回答/v 更/d,我/r 驚訝/a,她的回答,0,我,1,affective,INTR,CHT
285,rang,施 是否 能 <讓> 張愛玲 那 蹦蹦戲 花旦 移駕到 香港 的 情天 恨海 裡 演出 好 戲 ，,施/nr 是否/v 能/v,張愛玲/nr 那/r 蹦蹦/v 戲/n 花旦/nr 移/v 駕到/v 香港/ns 的/uj 情天/x 恨海/x 裡/zg 演出/v 好/a 戲/n,施,1,張愛玲那蹦蹦戲花旦,1,inducive,TR,CHT
299,rang,他們 做 的 只是 <讓> 大家 關注 這 個 話題 ，,他們/r 做/v 的/uj 只是/c,大家/n 關注/v 這/zg 個/zg 話題/n,他們,1,大家,1,inducive,TR,CHT
301,rang,乾脆 拱手 <讓> 他 辦 ，,乾脆/nz 拱手/v,他/r 辦/zg,,,,,physical,,CHT
302,rang,尤其 是 「 布袋 雞 」 、 「 猴 頭 菇 」 更 是 <讓> 他 印象 深刻 。,尤其/d 是/v 布袋/n 雞/n 猴/ng 頭/n 菇/ng 更/d 是/v,他/r 印象/n 深刻/d,「 布袋雞」、「猴頭菇」 ,0,他,1,affective,INTR,CHT
304,rang,辦桌 臺 菜 有(V_2) 何 特色 能夠 <讓> 人 念念 難忘 呢 ？,辦桌/x 臺/zg 菜/n 有/v V/x 2/x 何/r 特色/n 能夠/v,人/n 念念/n 難忘/v 呢/y,特色,0,人,1,affective,INTR,CHT
305,rang,現在 調整 座椅 <讓> 自己 坐下來 。,現在/t 調整/vn 座椅/n,自己/r 坐/v 下來/t,自己,1,自己,1,inducive,INTR,CHT
308,rang,之後 就 進入 俗稱 「 鬥牛 」 的 平地 操 傘 訓練 — — 要 <讓> 傘身 無論 何 種 狀況 ，,之後/f 就/d 進入/v 俗稱/v 鬥牛/nz 的/uj 平地/n 操/v 傘/zg 訓練/vn 要/v,傘身/x 無論/c 何/r 種/m 狀況/n,,,,,physical,,CHT
310,rang,有線 電視 除了 有(V_2) <讓> 觀眾 參與 的 談話性 節目 ，,有線/n 電視/n 除了/p 有/v V/x 2/x,觀眾/x 參與/v 的/uj 談話/vn 性/n 節目/n,談話性節目,0,觀眾,1,affective,INTR,CHT
314,rang,和 臺灣人 相處 <讓> 我 感覺 著 親切 ，,和/c 臺灣人/n 相處/d,我/r 感覺/n 著/n 親切/a,和台灣人相處,0,我,1,affective,INTR,CHT
316,rang,強忍 著 不 <讓> 眼淚 掉下來 …,強忍/a 著/n 不/d,眼淚/n 掉下來/v,,,,,physical,,CHT
322,rang,遑論 要 「 唸 」 得 <讓> 人 明白 ，,遑論/n 要/v 唸/zg 得/ud,人/n 明白/nr,,,,,physical,,CHT
324,rang,她 也 表示 無意 <讓> 自己 日後 的 詩作 刻意 突出 可讀性 ，,她/r 也/d 表示/v 無意/v,自己/r 日後/t 的/uj 詩作/n 刻意/v 突出/v 可讀性/n,她,1,自己日後的詩作,0,volitional,TR,CHT
330,rang,就 有(V_2) 畫家 <讓> 聖經 故事 「 三 王 來 朝 」 中 的 東方 君王 之 一 ，,就/d 有/v V/x 2/x 畫家/n,聖經/n 故事/n 三/m 王/nr 來/zg 朝/ns 中/f 的/uj 東方/s 君王/nz 之/u 一/m,,,,,physical,,CHT
333,rang,怎樣 才 能 <讓> 燒出 的 器皿 瑩潔 堅硬 如 瓷 ，,怎樣/r 才/d 能/v,燒出/v 的/uj 器皿/n 瑩潔/a 堅硬/a 如/v 瓷/n,,,,,physical,,CHT
337,rang,她 也 <讓> 我 想起 英國 瓷器 發展 的 源頭 ，,她/r 也/d,我/r 想起/v 英國/ns 瓷器/n 發展/vn 的/uj 源頭/n,她,0,我,1,affective,INTR,CHT
340,rang,臺灣 股市 的 低迷 不振 已經 <讓> 國 內 許多 企業 和 投資人 資產 大為 縮水 。,臺灣/ns 股市/n 的/uj 低迷/v 不振/a 已經/d,國/n 內/n 許多/m 企業/n 和/c 投資人/n 資產/n 大為/x 縮水/v,臺灣股市的低迷不振,0,國內許多企業和投資人資產,0,physical,INTR,CHT
342,rang,這 項 強心針 也 只 <讓> 股市 上漲 了 一 天 ，,這/zg 項/n 強心針/n 也/d 只/d,股市/n 上漲/v 了/ul 一/m 天/q,強心針,0,股市,0,physical,INTR,CHT
345,rang,這些 人 可 不能 <讓> 他們 在 一 夜 之間 變成 聯邦軍 ，,這些/r 人/n 可/v 不能/v,他們/r 在/p 一/m 夜/t 之間/f 變成/v 聯邦軍/nt,,,,,physical,,CHT
348,rang,那 <讓> 我 有(V_2) 活 著 生活 的 感覺 ，,那/r,我/r 有/v V/x 2/x 活/vn 著/n 生活/vn 的/uj 感覺/n,那,0,我,1,affective,TR,CHT
355,rang,但 不論 教材 或 教師 都 <讓> 兒童 沒有 討論 的 機會 ，,但/c 不論/c 教材/n 或/c 教師/n 都/d,兒童/n 沒有/v 討論/v 的/uj 機會/n,教材或教師,0,兒童,0,physical,TR,CHT
356,rang,是 用 大人 的 方法 <讓> 孩子 知道 ，,是/v 用/p 大人/n 的/uj 方法/n,孩子/n 知道/v,,,,,physical,,CHT
362,rang,那 要 <讓> 孩子 學好 數學 、 喜愛 學 數學 ，,那/r 要/v,孩子/n 學好/v 數學/n 喜愛/v 學/zg 數學/n,,,,,physical,,CHT
367,rang,但是 聽到 這 張 唱片 還是 會 <讓> 人 不由自主 地 豎起 耳朵 一路 聽下去 。,但是/c 聽到/v 這/zg 張/zg 唱片/n 還是/c 會/v,人/n 不由自主/i 地/uv 豎起/v 耳朵/n 一路/m 聽/v 下去/t,唱片,0,人,1,affective,INTR,CHT
369,rang,血液 中 的 浪漫 特質 又 <讓> 他 「 跟 著 愛情 走 」 ，,血液/n 中/f 的/uj 浪漫/a 特質/n 又/d,他/r 跟/p 著/n 愛情/n 走/v,浪漫特質,0,他,1,affective,INTR,CHT
371,rang,「 《 阿飛[+prop] 正傳 》 是 第一 部 <讓> 我 真正 清楚 自己 在 幹什麼 的 電影 ，,阿飛/nr prop/eng 正傳/v 是/v 第一/m 部/n,我/r 真正/d 清楚/a 自己/r 在/p 幹什麼/l 的/uj 電影/n,《 阿飛正傳 》,0,我,1,affective,TR,CHT
372,rang,它 <讓> 我 明白 ，,它/r,我/r 明白/nr,它,0,我,1,affective,INTR,CHT
376,rang,不 應該 為 了 老師 權益 而 犧牲 學生 的 權益 」 、 「 <讓> 老師 方便 等於 是 為 他們 到處 兼課 賺錢 提供 服務 」 ，,不/d 應該/v 為/zg 了/ul 老師/n 權益/n 而/c 犧牲/v 學生/n 的/uj 權益/n,老師/n 方便/a 等於/v 是/v 為/zg 他們/r 到處/d 兼課/v 賺錢/v 提供/v 服務/vn,,,,,physical,,CHT
380,rang,在 開放式 問卷 中 <讓> 師生 自由 發揮 ，,在/p 開放式/nz 問卷/n 中/f,師生/nr 自由/a 發揮/v,,,,,physical,,CHT
383,rang,而 主張 <讓> 學生 代表 出席 校務 會議 ，,而/c 主張/n,學生/n 代表/n 出席/v 校務/n 會議/n,,,,,physical,,CHT
391,rang,用 什麼 方法 可以 <讓> 我 自己 快樂 起來 …,用/p 什麼/r 方法/n 可以/c,我/r 自己/r 快樂/a 起來/v,方法,0,我,1,affective,INTR,CHT
393,rang,美容師 口若懸河 地 強調 「 這 一 種 是 <讓> 妳 平衡 身體 中 的 酸鹼值 和 水份 ，,美容師/nr 口若懸河/i 地/uv 強調/v 這/zg 一/m 種/m 是/v,妳/zg 平衡/a 身體/n 中/f 的/uj 酸鹼值/vn 和/c 水份/n,,,,,physical,,CHT
395,rang,那 種 痛苦 <讓> 我 幾乎 不 想 再 做 下去 ，,那/r 種/m 痛苦/an,我/r 幾乎/d 不/d 想/v 再/d 做/v 下去/t,那種痛苦,0,我,1,affective,INTR,CHT
397,rang,水分 可以 利尿 、 <讓> 身體 機能 運轉 順利 ，,水分/n 可以/c 利尿/n,身體/n 機能/n 運轉/vn 順利/ad,水分,0,身體機能,0,physical,INTR,CHT
