"","ResuPred","Sentence","Causer","MentalS","Causee","MentalO","Property","Transitivity","Varieties","Resource"
"21","使","西方 父母 也 擔心 同床 而 眠 會 <使> 小孩子 養成 依賴性 ，","同床而眠",0,"小孩子",1,"affective","TR","CHT","ASBC"
"22","使","家人 說話 、 走動 、 取 物 等 「 家 的 聲音 」 反而 可以 <使> 嬰兒 的 睡眠 模式 更 完整 ，","「 家 的 聲音 」",0,"嬰兒的睡眠模式",0,"physical","INTR","CHT","ASBC"
"23","使","家庭 中 的 不 愉快 或 強烈 的 悲劇 會 <使> 孩童 增加 分泌 一 種 副腎素 荷爾蒙 ，","家庭中的不愉快或強烈的悲劇",0,"孩童",0,"physical","TR","CHT","ASBC"
"24","使","家 國 之 痛 <使> 他 直到 現在 ，","家國之痛",0,"他",1,"affective","INTR","CHT","ASBC"
"25","使","年齡 的 差距 <使> 兩 「 人 」 相見 的 場面 很 「 平靜 」 ，","年齡的差距",0,"兩「人」相見的場面",0,"physical","INTR","CHT","ASBC"
"26","使","社會 上 又 流傳 著 一 種 <使> 知識 女性 頗 受 打擊 的 說法 ：","說法",0,"知識女性",1,"affective","INTR","CHT","ASBC"
"27","使","加上 退化 的 關節 經常 <使> 她 疼痛 難耐 ，","退化的關節",0,"她",1,"affective","INTR","CHT","ASBC"
"28","使","在 美國 的 教育 訓練 <使> 我 有(V_2) 獨立 思考 的 能力 ，","教育訓練",0,"我",1,"affective","TR","CHT","ASBC"
"29","使","最近 噴 過 的 重 藥 儘管 <使> 成蚊 絕跡 ，","最近噴過的重藥",0,"成蚊",0,"physical","INTR","CHT","ASBC"
"30","使","而 手風琴 的 大量 運用 更 <使> 人 感受到 旅程 中 不同 的 浪漫 情調 。","手風琴的大量運用",0,"人",1,"affective","TR","CHT","ASBC"
"31","使","現代 許多 老師 為 了 要 <使> 孩子 讀經 ，","許多老師",1,"孩子",1,"inducive","TR","CHT","ASBC"
"32","使","以 實例 告訴 他們 讀經 可以 <使> 國文 分數 提高 ，","讀經",0,"國文分數",0,"physical","INTR","CHT","ASBC"
"33","使","現代 通訊 科技 <使> 我們 可以 天天 通話 ，","通訊科技",0,"我們",1,"affective","INTR","CHT","ASBC"
"34","使","過多 重複 和 單調 的 學習 可能 <使> 他 產生 怠惰 的 心態 ，","重複 和 單調 的 學習",0,"他",1,"affective","TR","CHT","ASBC"
"35","使","閃光 會 <使> 沙魚 暫時 無法 攻擊 你 。","閃光",0,"沙魚",0,"physical","TR","CHT","ASBC"
"36","使","所謂 「 流星 通訊 」 就是 <使> 電波 反射到 氣體柱 ，","流星通訊",0,"電波",0,"physical","TR","CHT","ASBC"
"37","使","運動 過量 也 同樣 會 <使> 人 受 傷害 。","運動過量",0,"人",0,"physical","INTR","CHT","ASBC"
"38","使","- 但 也 就是 那 點 淡漠 的 風采 <使> 他 顯得 與眾不同 。","淡漠的風采",0,"他",1,"affective","INTR","CHT","ASBC"
"39","使","早上 費心 挑 了 件 <使> 自己 看來 少 了 五 公斤 的 素雅 洋裝 ，","洋裝",0,"自己",1,"affective","INTR","CHT","ASBC"
"40","使","但是 他 能 <使> 她 快樂 嗎 ？","他",1,"她",1,"inducive","INTR","CHT","ASBC"
"41","使","然而 這 種 情緒 的 搖擺 <使> 他 一事無成 ，","情緒的搖擺",0,"他",1,"affective","INTR","CHT","ASBC"
"42","使","室 內 的 溫熱 <使> 她 的 皮膚 泛起 紅暈 。","室內的溫熱",0,"她的皮膚",0,"physical","INTR","CHT","ASBC"
"43","使","但 那 床 你 為 我 精挑細選 的 被單 卻 總是 <使> 我 孤單 ，","被單",0,"我",1,"affective","INTR","CHT","ASBC"
"44","使","長壽 能 <使> 文化 承繼 較 完整 ，","長壽",0,"文化",0,"physical","INTR","CHT","ASBC"
"45","使","而且 這樣 的 新 性質 能 <使> 主體 轉向 單一化 而 不 受 內容 干擾 ：","新性質",0,"主體",0,"physical","TR","CHT","ASBC"
"46","使","小說 每 一 次 引用 經典 都 會 <使> 原文 產生 新 的 意義 轉折 ，","引用經典",0,"原文",0,"physical","TR","CHT","ASBC"
"47","使","高衙內 又 <使> 林沖 的 總角 好友 陸虞候 追 至 滄州 火燒 料場 以 謀害 其 命 。","高衙內",1,"陸虞候",1,"inducive","INTR","CHT","ASBC"
"48","使","它 的 好處 除了 <使> 同學 的 成績 在 較 客觀 、 公正 的 狀態 下 顯示 外 ，","它的好處",0,"同學的成績",0,"physical","INTR","CHT","ASBC"
"49","使","大考 中心 制定 推薦 甄選 是 為 <使> 整個 考試 制度 多元化 ，","大考中心",0,"考試制度",0,"physical","INTR","CHT","ASBC"
"50","使","紅 、 金 、 綠 三 色 的 各 式 耶誕 裝飾 已經 <使> 台北 街頭 籠罩 一 層 濃濃 耶誕 味 。","耶誕裝飾",0,"台北街頭",0,"physical","TR","CHT","ASBC"
"51","使","師生 同樂 的 景象 至今 仍 <使> 人 懷念 不已 。","師生 同樂 的 景象",0,"人",1,"affective","INTR","CHT","ASBC"
"52","使","社會 的 多元 <使> 學校 面臨 各 方面 的 衝擊 ，","社會的多元",0,"學校",0,"physical","TR","CHT","ASBC"
"53","使","新加坡 如何 <使> 學生 有(V_2) 創意 與 思考 ？","新加坡",0,"學生",1,"affective","TR","CHT","ASBC"
"54","使","新 人事 制度 也 <使> 一 個 有(V_2) 潛力 的 行政 官員 ，","新人事制度",0,"行政 官員",1,"affective","INTR","CHT","ASBC"
"55","使","像是 發生 混亂 、 災難 、 政治 動盪 而 <使> 大陸 發展 倒退 。","混亂 、 災難 、 政治 動盪",0,"大陸",0,"physical","INTR","CHT","ASBC"
"56","使","窩心 的 服務 可 <使> 顧客 擁有 溫馨 、 歡愉 和 難以 忘懷 的 感覺 ，","服務",0,"顧客",1,"affective","TR","CHT","ASBC"
"57","使","處理 過程 的 污染 卻 也 <使> 土地 付出 不菲 的 代價 。","汙染",0,"土地",0,"physical","TR","CHT","ASBC"
"58","使","最 常 有(V_2) 的 態度 是 權力 鬥爭 將 會 <使> 中國 政局 不 穩 ，","權力鬥爭",0,"中國政局",0,"physical","INTR","CHT","ASBC"
"59","使","文革 的 衝擊 經驗 <使> 他們 的 人生 更 具有 現實感 ，","文革 的 衝擊 經驗",0,"他們 的 人生",0,"physical","TR","CHT","ASBC"
"60","使","種種 亂象 顯然 已 <使> 台灣 整體 社會 信心 面臨 重大 考驗 。","亂象",0,"台灣 整體 社會 信心",0,"physical","TR","CHT","ASBC"
"61","使","自由 民主 的 浪潮 是否 已 <使> 世界 邁向 富裕 安康 的 大道 ？","自由 民主 的 浪潮",0,"世界",0,"physical","TR","CHT","ASBC"
"62","使","三 、 民主化 易 <使> 社會 規範 鬆綁 ，","民主化",0,"社會規範",0,"physical","INTR","CHT","ASBC"
"63","使","資訊化 可以 <使> 企業 決策 的 資訊 更 豐富 ，","資訊化",0,"企業",0,"physical","INTR","CHT","ASBC"
"64","使","「 政治 風險 <使> 社會 成本 急遽 增高 ，","政治風險",0,"社會",0,"physical","INTR","CHT","ASBC"
"65","使","企業 復甦 更 <使> 英國 股市 元氣 大振 、 衝上 歷史 新高點 ，","企業復甦",0,"英國股市",0,"physical","TR","CHT","ASBC"
"66","使","資金 外移 <使> 台灣 經常 帳盈餘 從 一九八六年 佔 ＧＤＰ 的 二二％ 劇跌 至 目前 的 四％ ，","資金外移",0,"台灣",0,"physical","INTR","CHT","ASBC"
"67","使","大陸 的 緊縮 政策 <使> 香港 的 經濟 成長率 只 能 維持 在 五．五％ ，","緊縮政策",0,"香港",0,"physical","INTR","CHT","ASBC"
"68","使","因為 社會 壓力 會 <使> 團體 中 的 個人 為 了 避免 與 大多數 人 對立 ，","社會壓力",0,"個人",1,"affective","TR","CHT","ASBC"
"69","使","山崩 的 故事 ， 無私 更 <使> 他 身先士卒 ，","無私",0,"他",1,"affective","INTR","CHT","ASBC"
"70","使","提出 政府 一定 設法 <使> 「 中產階級 有(V_2) 安身立命 之 所 。","政府",1,"中產階級",0,"volitional","TR","CHT","ASBC"
"71","使","「 我 的 母親 <使> 我 深深 體會到 人 窮 志 不必 短 ，","母親",1,"我",1,"inducive","TR","CHT","ASBC"
"72","使","世界 的 潮流 、 趨勢 也 <使> 它 不能 不 變 。","世界 的 潮流 、 趨勢",0,"它",0,"physical","INTR","CHT","ASBC"
"73","使","都 可能 因為 工作 人員 的 衛生 習慣 不良 而 <使> 調製出來 的 冷飲 不 合 衛生 標準 ，","工作人員",1,"冷飲",0,"volitional","TR","CHT","ASBC"
"74","使","而 面板 會 <使> 音響 更 寬廣 ，","面板",0,"音響",0,"physical","INTR","CHT","ASBC"
"75","使","我 覺得 這 一 段 <使> 台北 愛樂 前功盡棄 ，","這一段",0,"台北愛樂",1,"affective","INTR","CHT","ASBC"
"76","使","宗教 精神 <使> 她 處處 能 以 造福 他人 為 目標 ，","宗教精神",0,"她",1,"affective","TR","CHT","ASBC"
"77","使","動物 實驗 中 施用 之 化學 物質 能 <使> 百分之五十 實驗 動物 族群 發生 死亡 時 所 需要 之 濃度 。","化學物質",0,"實驗動物族群",0,"physical","TR","CHT","ASBC"
"78","使","毒性 化學 物質 或 其他 化學 藥劑 能 <使> 致 生物體 因 攝入 此 化學 物質 而 導致 癌細胞 之 產生 。","毒性 化學 物質 或 其他 化學 藥劑",0,"生物體",0,"physical","TR","CHT","ASBC"
"79","使","但 終 因 太陽 之 熱能 <使> 其 大氣 分子 獲得 能量 而 逃離 水星 的 引力場 ；","太陽 之 熱能",0,"大氣分子",0,"physical","TR","CHT","ASBC"
"80","使","這 種 方式 <使> 他 的 體力 能夠 維持 一定 水準 。","這 種 方式",0,"他的體力",0,"physical","INTR","CHT","ASBC"
"81","使","這些 特點 在在 <使> 台灣 的 現代性 初 露 端倪 。","這些特點",0,"台灣的現代性",0,"physical","TR","CHT","ASBC"
"82","使","我 一直 指望 科技 能 <使> 人 重回 那 個 時代 ；","科技",0,"人",1,"affective","TR","CHT","ASBC"
"83","使","顯然 地 「 雲門 」 除了 <使> 自己 一流 ；","雲門",0,"自己",1,"affective","INTR","CHT","ASBC"
"84","使","那 <使> 我 低潮 時 還 有(V_2) 力氣 ，","那",0,"我",1,"affective","TR","CHT","ASBC"
"85","使","今 夏 腸病毒 已 <使> 所有 兒童 演藝 活動 蕭條 ，","腸病毒",0,"兒童演藝活動",0,"physical","INTR","CHT","ASBC"
"86","使","男生 <使> 父母 擔心處 翻過來 比 女生 要 少 一些 （ 他 不 欺負 人 就算 不錯 的 了 ） 。","男生",1,"父母",1,"inducive","TR","CHT","ASBC"
"87","使","常 發現 當代 父母 儘力 <使> 子女 擁有 快樂 童年 是 一 種 補償 ，","當代 父母",1,"子女",0,"volitional","TR","CHT","ASBC"
"88","使","就 因為 女孩 生 得 多 <使> 父母 厭煩 ，","女孩 生 得 多",0,"父母",1,"affective","INTR","CHT","ASBC"
"89","使","玫瑰 的 嬌嫩 能 <使> 你 自由 愉悅 ，","玫瑰 的 嬌嫩",0,"你",1,"affective","INTR","CHT","ASBC"
"90","使","我 的 愛戀 能 <使> 你 的 花兒 盎然 ，","我 的 愛戀",0,"你 的 花兒",0,"physical","INTR","CHT","ASBC"
"91","使","人 的 心態 能 <使> 同 一 件 事 產生 迥異 結果 ，","人 的 心態",0,"同 一 件 事",0,"physical","TR","CHT","ASBC"
"92","使","因為 壓力 能 <使> 我們 更為 勇敢 向 前 奮鬥 呀 ！","壓力",0,"我們",1,"affective","INTR","CHT","ASBC"
"93","使","「 歷史 <使> 人 明智 ，","歷史",0,"人",0,"physical","INTR","CHT","ASBC"
"94","使","看 海 不但 能 <使> 人 心胸 寬大 ，","看海",0,"人",1,"affective","INTR","CHT","ASBC"
"95","使","若 剪下 泡 水 要 <使> 郵票 和 信封 自然 分離 ，","剪下 泡 水",0,"郵票 和 信封",0,"physical","INTR","CHT","ASBC"
"96","使","這 趟 家庭 訪問 <使> 我 更 了解 小偉 ，","家庭訪問",0,"我",1,"affective","TR","CHT","ASBC"
"97","使","他 不但 <使> 自己 被 需求 的 程度 高 ，","他",1,"自己",0,"volitional","INTR","CHT","ASBC"
"98","使","由於 禿頭 <使> 他 了無 生趣 ，","禿頭",0,"他",1,"affective","INTR","CHT","ASBC"
"99","使","」 他 認真 的 表情 <使> 我 肅然起敬 ，","他 認真 的 表情",0,"我",1,"affective","INTR","CHT","ASBC"
"100","使","它 能 <使> 人 長命 。","它",0,"人",0,"physical","INTR","CHT","ASBC"
"101","使","或 搬動 礁石 <使> 附著 其 上 的 藻類 和 生物 死亡 ，","搬動 礁石",0,"附著 其 上 的 藻類 和 生物",0,"physical","INTR","CHT","ASBC"
"102","使","我們 希望 負責 規劃 都市 的 人 能 將 臺北 本身 所 具有 渾然天成 的 界限 （ 四面 環山 的 盆地 性質 <使> 其 界限 極為 分明 ，","四面 環山 的 盆地 性質",0,"其 界限",0,"physical","INTR","CHT","ASBC"
"103","使","」 無奈 我 可恨 的 教養 又 <使> 我 嚅嚅 叮叮 不能 出口 罵 一 個 老人 ，","我 可恨 的 教養",0,"我",1,"affective","INTR","CHT","ASBC"
"104","使","」 許國隆 期望 能 做到 「 <使> 客人 買 了 無悔 。","許國隆",1,"客人",1,"inducive","INTR","CHT","ASBC"
"105","使","加以 人口 和 經濟 活動 持續 增加 <使> 稀有 的 土地 價值 不斷 上升 ，","人口 和 經濟 活動 持續 增加",0,"稀有 的 土地 價值",0,"physical","INTR","CHT","ASBC"
"106","使","生產力 提高 <使> 生產 傳統 產品 一定 數量 所 需要 的 勞力 減少 ，","生產力 提高",0,"勞力",0,"physical","INTR","CHT","ASBC"
"107","使","」 經濟 成長 會 <使> 我們 更 快樂 嗎 ！","經濟成長",0,"我們",1,"affective","INTR","CHT","ASBC"
"108","使","」 但是 經濟 成長 確實 可以 <使> 我們 有(V_2) 更多 的 選擇 和 自由 。","經濟成長",0,"我們",1,"affective","INTR","CHT","ASBC"
"109","使","即 人 的 行為 比較 容易 轉換 心情 臺灣 這 種 快速 運作 的 社會 <使> 人 的 折舊率 變得 比 昔時 高 ，","臺灣 這 種 快速 運作 的 社會",0,"臺灣 這 種 快速 運作 的 社會",0,"physical","INTR","CHT","ASBC"
"110","使","音樂 <使> 我 兼及 歐洲 歷史 ，","音樂",0,"我",1,"affective","TR","CHT","ASBC"
"111","使","她 又 <使> 它 向 前 發展 ，","她",1,"它",0,"volitional","INTR","CHT","ASBC"
"112","使","是 家具 本身 的 光華 <使> 它 能 看起來 這麼 閒閒 置散 ，","家具 本身 的 光華",0,"它",0,"physical","INTR","CHT","ASBC"
"113","使","這 事 <使> 我 想起 多 年 前 第一 次 造訪 阿姆斯特丹 一 段 記憶 ，","這事",0,"我",1,"affective","TR","CHT","ASBC"
"114","使","它 將 <使> 受 華文 教育 和 受 英文 教育 的 新加坡 華人 之間 的 鴻溝 永遠 延續 下去 。","它",0,"新加坡 華人 之間 的 鴻溝",0,"physical","INTR","CHT","ASBC"
"115","使","族群 衝突 將 <使> 百姓 受難 。","族群衝突",0,"百姓",1,"affective","INTR","CHT","ASBC"
"116","使","糧食 問題 也 <使> 東北亞 局勢 出現 戲劇化 的 轉折 。","糧食問題",0,"東北亞 局勢",0,"physical","TR","CHT","ASBC"
"117","使","由於 中共 錯誤 判斷 <使> 兩岸 關係 陷入 低潮 ，","中共 錯誤 判斷",0,"兩岸關係",0,"physical","INTR","CHT","ASBC"
"118","使","臺灣 可以 做 什麼 事情 來 <使> 緊張 情勢 緩和 ？","台灣",1,"緊張情勢",0,"volitional","INTR","CHT","ASBC"
"119","使","這 一連串 的 問號 終於 <使> 我 得到 一 個 非常 重要 的 啟悟 — 今天 我 對 炎夏 穿 西裝 帶來 的 煩苦 已經 忍無可忍 ，","這 一連串 的 問號",0,"我",1,"affective",NA,"CHT","ASBC"
"120","使","這 種 世代 的 鴻溝 <使> 今天 的 臺灣 老人 特別 鬱悶 寂寞 。","世代 的 鴻溝",0,"今天 的 臺灣 老人",1,"affective","INTR","CHT","ASBC"
"121","使","久病 不 癒 則 是 另 一 個 <使> 老人 厭世 的 重要 原因 。","久病不癒",0,"老人",1,"affective","INTR","CHT","ASBC"
"122","使","一切 都 <使> 他 感到 新鮮 ，","一切",0,"他",1,"affective","INTR","CHT","ASBC"
"123","使","它 只 能 <使> 人 更 腐敗 ！","它",0,"人",0,"physical","INTR","CHT","ASBC"
"124","使","「 朱 一直 說 賺錢 不能 <使> 別人 幸福 ，","賺錢",0,"別人",1,"affective","INTR","CHT","ASBC"
"125","使","上帝 為 了 <使> 人類 不致於 難以 回頭 ，","上帝",1,"人類",0,"volitional","INTR","CHT","ASBC"
"126","使","淡紅 的 晚霞 <使> 他 的 眼珠 顯得 神秘 無比 ，","淡紅 的 晚霞",0,"他 的 眼珠",0,"physical","INTR","CHT","ASBC"
"127","使","」 「 金錢 只 能 <使> 人 更 腐敗 ！","金錢",0,"人",0,"physical","INTR","CHT","ASBC"
"128","使","如果 他 不能 <使> 我們 這些 迷途 的 羔羊 回到 羊群 ，","他",1,"我們 這些 迷途 的 羔羊",1,"inducive","INTR","CHT","ASBC"
"129","使","小剛 對 她 的 那 番 不加 掩飾 的 愛慕 <使> 她 的 虛榮心 非常 滿足 。","小剛 對 她 的 那 番 不加 掩飾 的 愛慕",0,"她 的 虛榮心",1,"affective","INTR","CHT","ASBC"
"130","使","他 那 身 背心 短褲 <使> 他 的 身材 充分 的 顯露出來 。","他 那 身 背心 短褲",0,"他 的 身材",0,"physical","INTR","CHT","ASBC"
"131","使","原來 是 搬走 的 鏡子 <使> 門 邊 的 一 塊 地 空[+vrv] 了 出來[+vrr] ，","搬走 的 鏡子",0,"門 邊 的 一 塊 地",0,"physical","INTR","CHT","ASBC"
"132","使","污濁 的 空氣 和 粗俗 的 談笑 <使> 她 每 次 回家 都 要 乾嘔 不止 。","污濁 的 空氣 和 粗俗 的 談笑",0,"她",1,"affective","INTR","CHT","ASBC"
"133","使","無 節奏 的 敲門聲 <使> 她 一 驚 。","無 節奏 的 敲門聲",0,"她",1,"affective","INTR","CHT","ASBC"
"134","使","重返 銅鼓鎮 <使> 他 徹夜 難 眠 。","重返 銅鼓鎮",0,"他",1,"affective","INTR","CHT","ASBC"
"135","使","直覺 <使> 她 胸口 怦怦 亂 跳 。","直覺",0,"她",1,"affective","INTR","CHT","ASBC"
"136","使","一 片 密密匝匝 的 古 松林 <使> 嶺背 平添 幾 分 陰森 和 荒寂 ，","一 片 密密匝匝 的 古 松林",0,"嶺背",0,"physical","TR","CHT","ASBC"
"137","使","第二 天 清晨 他 的 辭行 <使> 老友 十分 意外 。","他 的 辭行",0,"老友",1,"affective","INTR","CHT","ASBC"
"138","使","不祥 的 感覺 <使> 這 位 匪酋 陡然 面色 如 灰 。","不祥 的 感覺",0,"這 位 匪酋",1,"affective","INTR","CHT","ASBC"
"139","使","劇痛 <使> 他 狂怒 難 遏 ，","劇痛",0,"他",1,"affective","INTR","CHT","ASBC"
"140","使","唯有 手心 傷口 的 陣陣 灼痛 才 <使> 他 稍 有(V_2) 點 莫名 的 快感 。","手心 傷口 的 陣陣 灼痛",0,"他",1,"affective","INTR","CHT","ASBC"
"141","使","可惜 那 不明不白 死去 的 傢伙 <使> 他 浪費 了 三 顆 毒彈 。","那 不明不白 死去 的 傢伙",0,"他",1,"affective","TR","CHT","ASBC"
"142","使","兩 腿 間 的 疼痛 <使> 她 舉步維艱 。","兩 腿 間 的 疼痛",0,"她",1,"affective","INTR","CHT","ASBC"
"143","使","莫天良 那 疲憊不堪 的 氣色 <使> 她 暗暗 吃驚 。","兩 腿 間 的 疼痛",0,"她",1,"affective","INTR","CHT","ASBC"
"144","使","鞋跟 便 <使> 陳腐 的 樓板 發出 呻吟 般 的 聲響 。","鞋跟",0,"陳腐 的 樓板",0,"physical","TR","CHT","ASBC"
"145","使","不斷 運動 、 變化 的 雲煙 <使> 人 有(V_2) 飛機 不 動 的 感覺 — 同 駛 在 海洋 裡 的 感覺 一樣 。","不斷 運動 、 變化 的 雲煙",0,"人",1,"affective","INTR","CHT","ASBC"
"146","使","有時 在 他 家 感受到 的 真正 動人 的 夫妻 感情 竟 會 <使> 我 熱淚盈眶 。","夫妻 感情",0,"我",1,"affective","INTR","CHT","ASBC"
"147","使","這 一 個 語法 表達 模式 <使> 中文 自然 語言 處理 由 簡單 句 向 複雜 句 跨前 一 步 。","這 一 個 語法 表達 模式",0,"中文 自然 語言 處理",0,"physical","INTR","CHT","ASBC"
"148","使","故 關聯 詞語 是 指 能 <使> 各 級 語言 單位 起 互相 關聯 的 語詞 【 ５ 】 。","語詞",0,"各 級 語言 單位",0,"physical","INTR","CHT","ASBC"
"149","使","前繫 是 一 個 分句 依賴 後面 的 句子 <使> 語意 完整 ，","分句 依賴 後面 的 句子",0,"語意",0,"physical","INTR","CHT","ASBC"
"150","使","後繫 則 是 位於 後面 的 子句 靠 前 一 子句 <使> 語意 完整 。","位於 後面 的 子句 靠 前 一 子句",0,"語意",0,"physical","INTR","CHT","ASBC"
"151","使","混亂 的 世局 易 <使> 人們 對 現世 產生 絕望 ，","混亂 的 世局",0,"人們",1,"affective","INTR","CHT","ASBC"
"152","使","「 Ｒ 電台 雜誌 」 的 創刊 將 <使> 聽眾 一睹 廣播人 的 廬山真面目 。","「 Ｒ 電台 雜誌 」 的 創刊",0,"聽眾",1,"affective","TR","CHT","ASBC"
"153","使","金克晟 說 不同 的 成長 背景 <使> 他 與 女友 對 某些 事 仍 會 持 不同 看法 ，","不同 的 成長 背景",0,"他 與 女友",1,"affective","TR","CHT","ASBC"
"154","使","如何 <使> 父母 接受 女兒 的 男友 是 日本人 的 事實 是 她倆 最 大 的 努力 方向 ；","她倆",1,"父母",1,"inducive","TR","CHT","ASBC"
"155","使","這樣 就 <使> 你 對 人際 關係 有(V_2) 一 個 新 的 看法 ，","這樣",0,"你",1,"affective","TR","CHT","ASBC"
"156","使","應該 自己 設法 安排 在 生命 的 某 個 階段 中 加以 熟讀 經典 如此 可以 <使> 我們 在 知 的 方面 不斷 成長 。","如此",0,"我們",1,"affective","INTR","CHT","ASBC"
"157","使","「 六 個 夢 」 裡 每 個 夢 都 可以 <使> 人 粉身碎骨 ，","每個夢",0,"人",0,"physical","INTR","CHT","ASBC"
"158","使","這些 限制 <使> 我們 尋求 克服 超越 的 途徑 。","這些限制",0,"我們",1,"affective","TR","CHT","ASBC"
"159","使","眼睛 既然 可以 <使> 我們 上當 ，","眼睛",0,"我們",1,"affective","INTR","CHT","ASBC"
"160","使","殊不知 生物 的 本能 <使> 這些 人 自己 會 活 下去 ，","生物 的 本能",0,"這些人",1,"affective","INTR","CHT","ASBC"
"161","使","人生 很多 事情 <使> 我們 覺得 很 累 ，","人生 很多 事情",0,"我們",1,"affective","INTR","CHT","ASBC"
"162","使","大自然 的 動物 所 發出來 的 聲音 會 <使> 我們 覺得 愉快 。","大自然 的 動物 所 發出來 的 聲音",0,"我們",1,"affective","INTR","CHT","ASBC"
"163","使","你 開始 會 覺得 這 種 噪音 <使> 人 頭昏腦脹 ，","這種噪音",0,"人",1,"affective","INTR","CHT","ASBC"
"164","使","<U+8FD0><U+7EF4> 人<U+5458> 的 <U+804C><U+8D23> 是 根据 <U+4E1A><U+52A1> 需要 <U+89C4>划 信息 ， 网<U+7EDC> ， 服<U+52A1> ， 通<U+8FC7> 网<U+7EDC> <U+76D1>控 ， 事件 <U+9884>警 ， <U+4E1A><U+52A1> <U+8C03>度 ， 排障 升<U+7EA7> 等 手段 ， <使> 服<U+52A1> <U+5904>于 <U+957F>期 <U+7A33>定 可用 <U+72B6><U+6001> 。","<U+8FD0><U+7EF4> 人<U+5458>",1,"服<U+52A1>",0,"volitional","TR","CHS","ASBC"
