m	Vm
333	17
334	11
335	14
336	14
337	18
338	16
339	23
340	15
341	16
342	14
343	11
344	28
345	16
346	20
347	16
348	12
349	17
350	11
351	22
352	23
353	10
354	15
355	14
356	15
357	12
358	18
359	10
360	14
361	16
362	22
363	22
364	20
365	11
366	19
367	17
368	18
369	19
370	20
371	13
372	14
373	14
374	10
375	14
376	13
377	13
378	16
379	13
380	15
381	13
382	19
383	13
384	11
385	8
386	13
387	14
388	23
389	10
390	19
391	14
392	14
393	12
394	10
395	14
396	13
397	16
398	14
399	17
400	12
401	16
402	13
403	12
404	6
405	14
406	14
407	12
408	10
409	13
410	11
411	16
412	11
413	12
414	14
415	16
416	12
417	8
418	14
419	7
420	11
421	15
422	14
423	7
424	10
425	9
426	16
427	8
428	8
429	9
430	11
431	10
432	11
433	15
434	10
435	15
436	12
437	7
438	5
439	13
440	9
441	13
442	9
443	9
444	6
445	12
446	8
447	6
448	8
449	9
450	14
451	8
452	6
453	8
454	11
455	6
456	9
457	9
458	6
459	5
460	22
461	12
462	18
463	6
464	16
465	14
466	8
467	9
468	6
469	7
470	9
471	11
472	18
473	8
474	8
475	6
476	13
477	6
478	8
479	5
480	8
481	8
482	12
483	7
484	7
485	10
486	6
487	12
488	13
489	11
490	7
491	8
492	10
493	9
494	5
495	6
496	11
497	9
498	6
499	7
500	7
501	12
502	11
503	9
504	10
505	7
506	3
507	7
508	9
509	6
510	6
511	4
512	8
513	9
514	10
515	6
516	6
517	6
518	7
519	5
520	7
521	5
522	9
523	11
524	8
525	5
526	10
527	4
528	5
529	10
530	7
531	5
532	4
533	4
534	4
535	5
536	6
537	11
538	11
539	7
540	8
541	8
542	11
543	7
544	8
545	10
546	16
547	8
548	6
549	5
550	8
551	10
552	5
553	6
554	6
555	8
556	7
557	12
558	6
559	9
560	7
561	8
562	5
563	2
564	9
565	6
566	10
567	4
568	8
569	5
570	5
571	10
572	3
573	7
574	9
575	6
576	9
577	8
578	9
579	7
580	7
581	7
582	7
583	7
584	8
585	5
586	5
587	7
588	8
589	5
590	6
591	7
592	3
593	2
594	3
595	4
596	5
597	5
598	9
599	7
600	5
601	6
602	8
603	4
604	8
605	6
606	7
607	9
608	11
609	6
610	7
611	5
612	7
613	5
614	5
615	2
616	7
617	5
618	6
619	6
620	9
621	6
622	5
623	5
624	4
625	5
626	5
627	3
628	7
629	9
630	4
631	9
632	4
633	5
634	7
635	5
636	6
637	5
638	5
639	8
640	4
641	2
642	4
643	2
644	6
645	8
646	7
648	11
649	5
650	2
651	8
652	4
653	5
654	3
655	4
656	7
657	11
658	5
659	5
660	6
661	5
662	4
663	6
664	4
665	6
666	2
667	5
668	7
669	9
670	6
671	3
672	4
673	5
674	2
675	7
676	4
677	1
678	2
679	3
681	4
682	6
683	5
684	2
685	6
686	8
687	3
688	10
689	1
690	4
691	4
692	3
693	7
694	3
695	7
696	6
697	8
698	6
699	7
700	8
701	4
702	1
703	9
704	7
705	5
706	3
707	3
708	4
709	3
710	4
711	7
712	4
713	7
714	5
715	5
716	5
717	4
718	7
719	5
720	7
721	6
722	3
723	7
724	12
725	2
726	4
727	6
728	5
729	1
730	2
731	4
732	6
733	3
734	3
735	9
736	4
737	5
738	5
739	6
740	3
741	4
742	2
743	3
744	3
745	2
746	3
747	8
748	8
749	6
750	5
751	6
752	5
753	5
754	3
755	4
756	5
757	2
758	2
759	4
760	6
761	1
762	8
763	3
764	3
765	5
766	3
767	8
768	3
769	5
770	3
771	4
772	3
773	4
774	5
775	4
776	3
777	5
778	5
779	5
780	3
781	4
782	7
783	3
784	5
785	3
786	2
787	3
788	5
789	4
790	2
791	2
792	3
793	4
794	2
795	4
796	5
797	5
798	6
799	7
800	6
802	5
803	3
804	4
805	4
806	2
807	5
808	5
809	5
810	4
811	4
812	2
813	4
814	4
815	6
816	3
818	4
819	1
820	3
821	3
822	3
823	2
824	8
825	3
826	6
827	4
828	4
829	3
830	5
831	5
832	3
833	2
834	4
835	5
836	3
837	4
838	4
839	7
840	2
841	9
842	7
843	8
844	1
845	5
846	3
847	4
848	2
849	1
850	6
851	3
853	1
854	1
855	4
856	6
857	6
858	4
859	4
860	6
861	2
862	2
863	5
864	3
865	4
866	4
867	1
868	5
869	5
870	2
871	5
872	4
873	4
874	3
875	4
876	2
877	2
878	2
879	2
880	7
881	3
882	6
883	7
884	4
885	1
886	6
887	4
888	3
889	5
890	5
891	3
892	7
893	2
894	5
896	2
897	1
898	3
899	5
900	3
901	2
902	3
903	1
904	2
905	3
906	3
908	4
909	5
910	6
911	3
912	1
913	1
914	4
915	4
916	1
917	1
918	2
919	4
920	2
921	3
922	7
923	3
924	4
925	4
926	3
927	3
928	2
929	2
930	3
931	1
932	3
933	2
934	6
935	1
936	5
937	2
938	7
939	3
940	3
941	1
942	3
943	1
944	4
946	2
947	1
948	1
949	1
950	5
951	3
952	4
953	7
954	1
955	2
956	4
957	1
958	1
959	5
960	2
961	4
962	4
963	1
964	3
965	5
966	4
967	4
968	6
969	2
970	3
971	2
972	3
974	4
975	1
976	1
977	5
978	3
979	3
980	3
981	4
982	3
983	1
984	7
985	3
986	7
987	4
988	5
989	2
990	2
991	2
992	4
993	4
994	4
995	5
996	2
997	2
998	2
999	1
1000	1
1001	12
1002	4
1003	1
1004	2
1005	1
1006	2
1007	6
1008	4
1009	1
1010	3
1011	7
1012	6
1013	2
1014	1
1015	2
1016	5
1017	2
1018	3
1019	2
1020	4
1021	1
1022	5
1023	1
1024	1
1025	4
1027	4
1028	3
1029	3
1030	4
1031	2
1032	4
1033	6
1034	3
1035	1
1036	5
1037	1
1038	2
1039	3
1041	2
1042	4
1043	5
1044	2
1045	3
1046	1
1047	5
1048	3
1049	4
1050	1
1051	5
1052	2
1053	6
1054	4
1055	4
1056	3
1057	2
1059	2
1060	3
1061	1
1062	5
1063	4
1064	3
1065	3
1066	3
1067	1
1068	2
1069	4
1070	3
1072	5
1073	2
1074	3
1075	4
1076	1
1077	3
1078	1
1079	6
1080	4
1081	2
1082	1
1083	1
1084	2
1085	1
1086	2
1087	2
1088	2
1089	1
1090	1
1091	2
1092	6
1093	4
1094	7
1095	1
1096	3
1097	1
1098	2
1099	1
1100	1
1101	4
1102	1
1103	3
1104	3
1105	2
1106	3
1107	2
1108	2
1109	2
1110	2
1111	1
1112	2
1113	1
1114	5
1115	4
1116	3
1117	4
1118	3
1119	3
1120	3
1121	1
1122	2
1123	1
1124	4
1125	1
1126	1
1127	1
1128	2
1130	2
1131	3
1132	3
1134	3
1135	1
1137	1
1138	2
1139	5
1140	1
1141	4
1142	3
1143	1
1144	1
1145	6
1146	2
1147	4
1149	1
1150	1
1152	1
1153	3
1154	2
1155	1
1156	4
1157	1
1159	2
1160	2
1162	1
1163	2
1164	5
1165	1
1166	4
1167	4
1168	4
1169	2
1170	3
1171	2
1173	1
1174	2
1175	2
1176	2
1177	1
1178	1
1179	2
1180	3
1181	1
1182	1
1183	3
1184	1
1185	3
1186	3
1187	3
1188	2
1189	2
1190	1
1192	1
1193	4
1194	2
1195	2
1196	3
1197	3
1198	3
1199	2
1200	4
1201	3
1202	2
1203	2
1204	4
1205	4
1206	2
1207	1
1208	2
1209	1
1210	4
1211	1
1214	3
1215	1
1216	1
1217	2
1218	4
1219	1
1220	1
1221	2
1222	3
1223	2
1224	2
1225	1
1227	3
1228	4
1229	2
1230	3
1231	1
1232	2
1233	1
1234	2
1235	2
1236	3
1237	3
1238	4
1239	2
1240	2
1242	1
1243	3
1244	2
1245	1
1247	2
1248	4
1249	1
1250	1
1251	3
1252	4
1253	2
1254	3
1256	1
1258	4
1259	2
1260	1
1261	3
1262	3
1263	2
1264	1
1265	2
1266	1
1267	2
1268	2
1269	1
1271	1
1272	2
1273	1
1274	2
1277	4
1278	1
1279	1
1280	1
1282	2
1284	2
1286	1
1288	3
1289	2
1290	3
1291	2
1292	2
1293	3
1294	2
1295	2
1296	2
1297	3
1298	3
1300	4
1301	1
1302	5
1303	2
1304	1
1306	1
1307	2
1308	1
1309	2
1311	1
1312	3
1314	1
1315	1
1316	3
1318	1
1320	2
1321	2
1322	1
1323	2
1324	1
1325	1
1326	1
1327	2
1328	3
1329	1
1330	3
1331	1
1332	1
1333	5
1334	2
1336	1
1337	2
1338	1
1340	1
1341	1
1342	2
1343	2
1345	1
1346	4
1348	2
1350	2
1351	1
1352	1
1353	1
1354	1
1355	2
1356	2
1357	2
1358	3
1359	2
1360	1
1361	1
1362	3
1363	3
1364	1
1365	3
1367	1
1368	3
1370	2
1373	2
1374	5
1375	1
1377	1
1379	4
1380	1
1381	3
1382	3
1383	5
1385	1
1387	2
1388	2
1389	2
1390	3
1391	1
1392	1
1394	2
1395	3
1396	2
1397	1
1398	3
1399	1
1400	2
1401	3
1405	2
1406	1
1407	2
1409	1
1410	3
1411	3
1412	1
1414	1
1415	1
1416	2
1417	1
1418	5
1419	2
1420	2
1422	2
1424	2
1425	1
1426	2
1427	2
1428	1
1429	1
1430	2
1432	2
1433	1
1434	6
1435	1
1436	1
1437	1
1438	1
1440	1
1441	1
1442	1
1443	3
1444	1
1445	1
1446	1
1448	1
1449	3
1450	3
1451	2
1452	3
1453	2
1456	3
1458	2
1460	2
1462	2
1463	3
1464	1
1466	2
1470	2
1471	2
1472	2
1474	1
1475	3
1476	1
1477	2
1479	5
1481	2
1482	1
1483	2
1485	2
1486	3
1488	1
1489	5
1491	3
1494	2
1495	2
1497	1
1498	3
1499	3
1501	1
1502	1
1504	1
1505	4
1506	2
1507	1
1508	2
1509	2
1511	3
1512	3
1514	1
1515	2
1517	1
1519	1
1524	3
1525	1
1526	1
1527	2
1528	2
1529	1
1530	4
1531	1
1533	1
1534	3
1536	2
1538	4
1539	1
1541	1
1542	1
1543	2
1544	2
1545	1
1546	3
1548	1
1549	2
1550	1
1551	1
1552	1
1553	2
1555	1
1556	1
1557	1
1558	2
1559	1
1560	2
1562	2
1563	3
1564	3
1566	3
1567	2
1568	2
1569	2
1570	4
1571	2
1572	1
1573	2
1575	1
1576	2
1577	1
1578	2
1580	1
1581	1
1582	1
1583	2
1584	3
1585	2
1586	1
1587	2
1590	3
1591	1
1593	1
1595	1
1596	1
1597	1
1599	2
1600	1
1601	1
1603	1
1604	3
1605	1
1606	1
1607	6
1608	2
1609	1
1610	1
1611	3
1612	2
1613	3
1614	1
1615	1
1616	2
1618	1
1619	3
1620	1
1621	3
1623	1
1626	2
1627	1
1630	2
1631	3
1634	5
1636	1
1637	2
1638	1
1639	2
1641	4
1642	3
1643	3
1644	1
1646	1
1647	1
1648	1
1649	1
1650	1
1651	2
1653	2
1654	1
1656	1
1657	1
1659	2
1660	1
1661	3
1662	1
1663	2
1665	2
1666	2
1668	2
1671	2
1672	1
1673	1
1674	3
1676	1
1677	2
1678	1
1679	2
1680	1
1681	2
1682	1
1685	1
1686	1
1688	1
1690	1
1692	1
1693	2
1696	1
1698	2
1704	2
1705	1
1706	3
1709	2
1710	1
1711	1
1713	1
1714	1
1715	1
1716	1
1717	1
1720	4
1721	1
1722	1
1723	2
1724	1
1726	1
1727	1
1728	1
1729	2
1735	3
1736	3
1738	1
1740	1
1741	2
1742	3
1743	3
1744	2
1745	2
1747	2
1748	1
1749	2
1751	1
1752	2
1753	3
1755	1
1758	2
1760	1
1762	1
1763	1
1764	2
1765	1
1767	1
1776	1
1777	1
1778	1
1779	1
1780	2
1781	1
1782	2
1783	1
1785	1
1787	3
1788	1
1789	1
1791	1
1792	3
1794	1
1795	1
1797	3
1798	1
1799	2
1800	1
1801	1
1803	1
1804	1
1805	2
1806	2
1807	2
1808	2
1809	2
1810	1
1812	1
1813	1
1814	2
1815	2
1817	1
1818	2
1819	1
1821	4
1822	2
1823	1
1824	1
1826	2
1827	1
1828	2
1830	2
1831	1
1832	2
1833	2
1836	1
1838	2
1841	1
1842	1
1844	2
1846	1
1848	1
1849	2
1850	1
1852	2
1853	2
1854	1
1858	1
1865	2
1868	1
1869	2
1870	2
1874	2
1875	1
1877	1
1878	1
1879	1
1880	1
1881	1
1882	2
1884	1
1887	2
1888	1
1889	3
1890	3
1891	2
1893	1
1896	2
1897	1
1898	1
1903	2
1906	1
1908	1
1909	2
1910	2
1912	1
1913	1
1915	2
1917	2
1918	1
1920	1
1921	1
1923	1
1925	3
1926	1
1927	2
1928	1
1932	1
1934	1
1935	2
1936	1
1937	1
1938	1
1939	1
1940	2
1941	2
1944	1
1945	1
1946	1
1947	2
1948	1
1949	1
1950	1
1952	1
1954	2
1956	1
1959	1
1960	2
1963	1
1965	2
1969	1
1970	2
1971	2
1973	1
1975	1
1977	1
1979	1
1981	1
1982	2
1983	2
1984	1
1985	1
1986	1
1987	1
1989	1
1990	2
1995	1
1996	1
1999	2
2001	2
2002	2
2003	1
2004	2
2006	1
2007	4
2008	1
2010	3
2013	2
2014	1
2019	1
2021	1
2023	1
2025	1
2027	1
2030	1
2032	1
2033	1
2034	1
2037	3
2039	1
2040	1
2042	1
2044	3
2045	2
2052	1
2053	2
2054	1
2055	2
2056	1
2058	3
2061	2
2062	1
2063	1
2064	2
2065	1
2066	1
2068	1
2069	2
2076	3
2077	1
2078	2
2079	1
2085	2
2086	1
2087	1
2089	1
2090	1
2092	3
2094	1
2095	1
2096	1
2097	3
2099	1
2100	1
2102	1
2103	1
2104	1
2106	1
2107	1
2108	1
2109	1
2110	1
2112	1
2114	1
2115	2
2116	1
2121	3
2125	1
2126	3
2130	1
2132	1
2134	2
2135	4
2137	2
2138	1
2139	1
2141	1
2143	1
2145	1
2149	1
2151	2
2152	1
2154	2
2156	2
2160	1
2163	2
2164	1
2166	1
2167	2
2169	1
2174	1
2176	3
2180	1
2182	1
2184	1
2185	1
2187	3
2188	1
2189	1
2190	2
2191	1
2193	1
2194	1
2195	1
2196	2
2197	1
2198	1
2200	2
2201	2
2202	1
2203	1
2205	1
2207	1
2209	1
2211	1
2214	1
2218	1
2219	1
2222	1
2224	1
2226	2
2229	1
2230	1
2235	1
2236	1
2237	3
2242	1
2243	1
2244	1
2245	1
2246	1
2248	2
2249	1
2257	1
2266	1
2268	1
2269	1
2271	2
2272	2
2275	1
2276	1
2277	1
2280	1
2285	2
2290	1
2291	1
2292	1
2294	1
2295	1
2299	1
2301	1
2304	1
2305	1
2307	3
2308	1
2313	1
2316	1
2319	1
2320	1
2322	1
2324	2
2325	1
2330	1
2331	1
2332	1
2335	1
2341	1
2343	1
2347	1
2351	1
2353	2
2354	3
2356	2
2358	3
2362	2
2365	1
2366	2
2367	1
2369	1
2370	1
2372	2
2373	1
2374	1
2377	2
2380	1
2381	2
2382	1
2383	1
2384	1
2385	2
2388	1
2391	1
2393	2
2396	1
2398	1
2401	1
2402	1
2404	1
2408	1
2409	1
2411	1
2415	1
2420	1
2421	1
2422	1
2425	1
2427	1
2432	1
2436	1
2437	1
2440	1
2444	2
2445	1
2446	1
2449	1
2450	1
2453	1
2455	1
2457	1
2463	1
2467	1
2468	3
2469	2
2470	1
2471	2
2473	1
2475	1
2476	1
2479	1
2481	1
2482	1
2488	2
2489	1
2493	1
2498	1
2506	1
2508	1
2513	2
2514	1
2515	2
2519	2
2527	2
2529	2
2531	1
2534	1
2536	2
2537	1
2539	1
2542	1
2544	1
2545	1
2550	1
2556	1
2557	1
2562	1
2567	1
2568	2
2571	1
2573	1
2576	1
2579	2
2583	1
2585	1
2590	1
2592	2
2593	2
2597	1
2598	2
2600	2
2601	1
2602	1
2604	2
2608	1
2617	1
2618	1
2621	1
2622	1
2624	1
2625	1
2626	2
2628	1
2631	1
2632	1
2635	1
2636	2
2651	1
2654	1
2655	1
2659	1
2663	2
2665	2
2666	1
2671	1
2672	2
2676	1
2680	3
2681	1
2684	1
2685	1
2689	1
2697	2
2698	1
2699	1
2701	1
2702	1
2705	1
2707	1
2708	1
2710	3
2712	1
2718	1
2720	1
2722	1
2725	1
2730	1
2732	1
2736	1
2737	1
2738	2
2741	1
2742	1
2743	1
2744	2
2750	1
2751	3
2752	2
2753	2
2757	1
2759	2
2761	1
2771	1
2772	1
2773	1
2775	2
2777	1
2783	1
2784	1
2785	2
2788	1
2793	2
2794	2
2797	3
2800	2
2801	2
2802	1
2806	1
2807	1
2814	1
2819	1
2828	1
2835	1
2837	1
2839	1
2840	1
2841	1
2842	1
2846	1
2848	1
2849	1
2850	1
2852	2
2854	2
2855	1
2856	1
2865	1
2872	1
2875	1
2876	1
2882	1
2883	3
2884	2
2885	1
2886	1
2887	1
2889	1
2890	1
2892	1
2895	1
2898	1
2899	1
2902	1
2913	1
2914	2
2922	1
2930	1
2936	1
2937	1
2939	1
2945	1
2946	1
2951	2
2955	1
2964	1
2970	1
2974	1
2978	1
2979	2
2980	1
2981	1
2984	1
2989	1
2991	1
2992	1
2999	1
3000	1
3001	1
3005	3
3008	1
3013	1
3015	1
3018	1
3019	1
3020	1
3021	1
3022	1
3026	2
3030	1
3031	1
3034	1
3038	2
3039	1
3040	1
3041	1
3043	1
3045	1
3048	1
3051	1
3055	1
3056	1
3062	1
3063	1
3067	2
3069	1
3070	4
3074	1
3077	1
3079	1
3087	1
3091	1
3098	1
3102	1
3103	1
3105	2
3107	1
3122	1
3125	1
3131	1
3134	1
3135	1
3137	1
3141	1
3143	1
3145	1
3146	1
3149	1
3150	1
3151	1
3153	1
3158	1
3160	1
3165	1
3169	1
3172	1
3175	2
3176	1
3182	1
3184	1
3185	1
3191	1
3192	1
3193	1
3201	1
3206	1
3207	1
3211	1
3213	1
3217	1
3220	2
3222	1
3225	1
3226	1
3228	2
3234	1
3238	1
3241	1
3243	1
3247	1
3252	1
3253	1
3255	1
3260	1
3263	2
3266	1
3268	1
3277	1
3280	1
3282	1
3283	2
3286	1
3287	1
3289	1
3294	1
3296	2
3297	1
3310	1
3311	1
3312	1
3313	1
3320	1
3322	1
3323	2
3324	1
3328	2
3332	1
3333	1
3335	1
3339	1
3342	2
3345	1
3349	1
3351	1
3355	1
3359	1
3372	1
3382	1
3388	2
3396	1
3399	1
3400	1
3403	2
3406	2
3407	2
3418	1
3420	1
3430	1
3435	1
3437	1
3444	1
3450	1
3451	1
3456	1
3465	1
3470	1
3472	1
3475	1
3476	1
3481	1
3485	1
3486	1
3490	1
3491	1
3500	1
3513	1
3519	2
3520	1
3522	1
3523	1
3526	1
3533	1
3535	1
3536	2
3540	2
3542	1
3546	1
3547	1
3550	1
3554	1
3556	1
3582	1
3590	2
3591	1
3596	1
3601	1
3602	2
3609	1
3615	1
3616	1
3634	1
3635	1
3640	1
3646	1
3652	1
3660	1
3665	1
3670	1
3673	1
3674	1
3676	1
3677	1
3679	2
3683	1
3684	1
3685	1
3686	2
3697	2
3699	1
3701	1
3703	1
3704	2
3706	1
3708	1
3709	1
3715	1
3717	1
3718	1
3722	1
3727	3
3731	1
3737	1
3738	1
3749	1
3751	1
3764	1
3766	1
3768	1
3772	1
3777	1
3781	1
3784	1
3787	1
3789	1
3790	2
3795	1
3816	1
3818	1
3819	1
3820	1
3821	1
3822	1
3823	1
3828	1
3829	2
3849	1
3869	1
3870	1
3872	1
3875	1
3883	3
3885	2
3890	2
3892	1
3894	1
3898	1
3899	1
3902	1
3907	1
3910	1
3928	1
3936	1
3938	1
3946	1
3948	1
3951	1
3969	2
3973	1
3974	1
3983	1
3985	2
3986	1
3994	1
3997	1
4000	1
4015	1
4016	2
4019	1
4033	1
4037	1
4046	1
4055	1
4057	1
4060	2
4062	1
4077	1
4082	1
4083	1
4085	1
4094	2
4096	1
4098	1
4102	3
4105	1
4115	2
4116	1
4119	1
4120	1
4121	1
4126	1
4133	1
4140	2
4144	1
4153	1
4155	1
4158	1
4173	1
4187	1
4191	1
4194	1
4201	1
4211	1
4247	1
4255	1
4256	1
4258	1
4264	1
4271	1
4274	1
4287	1
4290	1
4298	1
4311	1
4322	1
4337	1
4339	1
4359	1
4363	1
4372	1
4388	1
4397	1
4406	1
4411	1
4414	1
4425	1
4442	1
4446	1
4451	1
4458	1
4459	1
4462	1
4463	1
4468	1
4477	1
4484	1
4486	1
4488	1
4492	1
4495	1
4500	1
4501	1
4512	1
4513	1
4524	1
4543	1
4545	2
4547	1
4555	1
4556	1
4561	1
4570	1
4572	1
4584	1
4590	1
4601	1
4610	1
4611	1
4615	1
4629	1
4640	1
4644	1
4649	2
4652	1
4674	1
4692	1
4698	1
4706	1
4708	1
4711	1
4727	1
4729	1
4730	1
4738	1
4739	1
4742	1
4747	2
4753	1
4754	1
4773	1
4775	1
4777	1
4780	1
4783	1
4786	1
4794	1
4804	1
4809	1
4812	1
4813	2
4829	2
4830	1
4833	1
4835	1
4848	1
4854	2
4856	1
4865	1
4868	2
4873	1
4882	1
4887	1
4900	1
4902	1
4906	1
4911	1
4926	1
4936	1
4939	1
4941	1
4950	1
4960	1
4987	1
5007	1
5019	1
5027	1
5039	1
5043	1
5050	2
5054	1
5056	1
5059	1
5060	1
5077	1
5082	1
5089	1
5101	1
5108	1
5118	1
5127	1
5129	1
5132	1
5142	1
5149	1
5151	1
5159	1
5170	1
5179	1
5191	1
5198	2
5209	1
5229	1
5236	1
5239	1
5244	1
5253	1
5254	1
5294	1
5296	1
5318	1
5319	1
5320	2
5332	1
5351	1
5355	1
5366	1
5372	1
5374	1
5383	1
5391	1
5393	1
5399	1
5422	1
5424	1
5436	1
5493	1
5499	1
5503	1
5504	1
5509	1
5512	1
5517	1
5518	1
5524	1
5529	1
5530	1
5539	2
5541	1
5546	1
5560	1
5571	1
5573	1
5606	1
5609	1
5611	1
5616	1
5628	1
5633	1
5637	1
5646	1
5665	1
5686	1
5688	1
5689	1
5699	1
5706	1
5714	1
5716	2
5722	2
5736	1
5746	1
5752	1
5753	1
5762	1
5765	1
5772	1
5811	1
5824	1
5829	3
5831	1
5887	1
5909	2
5912	1
5915	1
5945	1
5964	2
5965	1
5966	1
5969	1
5989	1
6005	1
6061	1
6066	1
6074	1
6092	1
6098	1
6105	1
6108	1
6113	1
6114	1
6120	1
6134	1
6138	1
6148	1
6156	1
6158	1
6171	1
6199	1
6200	1
6221	1
6230	2
6232	1
6233	1
6235	1
6242	1
6243	1
6269	1
6282	1
6288	1
6290	1
6312	1
6323	1
6350	1
6386	1
6394	1
6395	1
6403	1
6432	1
6462	1
6466	1
6473	1
6497	1
6501	1
6511	1
6515	1
6516	1
6546	1
6547	1
6580	1
6586	1
6589	1
6610	1
6612	1
6619	1
6625	1
6626	2
6651	1
6658	1
6677	1
6686	1
6692	1
6704	1
6710	1
6730	1
6742	1
6760	1
6785	1
6849	2
6857	1
6868	1
6891	1
6896	1
6928	1
6945	1
6948	1
6954	1
6960	1
6963	1
6969	1
7000	1
7010	1
7025	1
7061	1
7078	1
7081	1
7098	1
7106	1
7115	1
7140	1
7154	1
7155	1
7159	1
7192	1
7198	1
7201	1
7212	1
7216	1
7220	1
7224	1
7227	1
7228	1
7232	1
7251	1
7252	1
7255	1
7263	1
7268	1
7274	1
7283	1
7288	1
7290	2
7341	1
7353	1
7402	1
7406	1
7452	1
7459	1
7485	1
7492	1
7524	1
7548	1
7554	1
7582	2
7640	1
7662	1
7674	1
7699	1
7722	1
7757	1
7769	1
7798	2
7804	1
7841	1
7846	1
7851	1
7866	1
7905	1
7909	1
7913	1
7916	1
7941	1
7970	1
7998	1
8044	1
8066	1
8067	1
8071	1
8088	2
8092	1
8105	1
8107	1
8116	1
8124	1
8148	1
8156	1
8203	2
8229	1
8251	1
8286	1
8291	1
8306	1
8348	1
8352	1
8384	1
8418	1
8423	1
8426	1
8463	1
8566	1
8635	1
8687	1
8691	1
8709	1
8740	1
8796	1
8805	1
8809	1
8819	1
8835	1
8862	1
8864	1
8919	1
8943	1
8954	1
8960	1
8976	1
8987	2
9020	1
9055	1
9056	1
9077	1
9113	1
9126	1
9153	1
9183	1
9190	1
9193	1
9199	1
9225	1
9257	1
9266	1
9308	1
9325	1
9393	1
9394	1
9395	1
9398	1
9399	1
9410	1
9413	1
9416	1
9432	1
9475	1
9594	1
9633	1
9670	1
9724	1
9791	1
9852	1
9861	1
9863	1
9867	1
9894	1
10048	1
10056	1
10091	1
10220	1
10237	1
10247	1
10278	1
10314	1
10318	1
10335	1
10376	1
10409	1
10418	1
10443	1
10492	1
10519	1
10532	1
10539	1
10593	1
10630	1
10663	1
10724	1
10754	1
10788	1
10805	1
10872	1
10879	1
10930	1
10938	1
10939	1
10943	1
10963	1
11003	1
11029	1
11030	1
11065	1
11138	1
11150	1
11222	1
11226	1
11232	1
11247	1
11261	1
11327	1
11339	1
11343	1
11367	1
11369	1
11440	1
11486	1
11541	1
11602	1
11684	1
11685	1
11726	1
11772	1
11865	1
11874	1
11930	1
11987	1
11989	1
12005	1
12026	1
12080	1
12215	1
12476	1
12485	1
12511	1
12518	1
12534	1
12536	1
12539	1
12576	1
12630	1
12697	1
12706	1
12747	1
12785	1
12836	1
12977	1
13002	1
13022	1
13037	2
13087	2
13118	1
13119	1
13245	1
13306	1
13404	1
13581	2
13673	1
13745	1
13769	1
13793	1
13802	1
13814	1
13833	1
13843	1
13894	1
13949	1
14024	1
14054	1
14274	1
14282	1
14299	1
14351	1
